Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,eigencentrality
206186.0,,,8,9,17,4,0.342246,0.352865,0,0.003364,0.021652
83031.0,,,115,93,208,3,0.516129,0.536458,1396.711377,0.004178,0.629583
11682.0,,,2,47,49,3,0.389474,0.468468,73,0.00556,0.000171
81038.0,,,3,0,3,0,0,0,0,0.003455,0.000236
86513.0,,,3,0,3,0,0,0,0,0.003455,0.000236
196084.0,,,3,0,3,0,0,0,0,0.003455,0.000236
191565.0,,,3,0,3,0,0,0,0,0.003455,0.000236
68506.0,,,3,0,3,0,0,0,0,0.003455,0.000236
132068.0,,,71,65,136,3,0.383234,0.414062,10.071755,0.003625,0.495716
16755.0,,,379,407,786,3,0.42953,0.549479,1337.465944,0.006282,1
112087.0,,,3,0,3,0,0,0,0,0.003285,0.022167
99719.0,,,7,2,9,1,1,1,48,0.0129,0.022491
86560.0,,,20,10,30,5,0.387879,0.432812,18.216867,0.003326,0.048013
190954.0,,,3,0,3,0,0,0,0,0.003285,0.022167
121450.0,,,9,6,15,5,0.233577,0.257031,0,0.003411,0.036059
55398.0,,,48,48,96,4,0.303318,0.347656,63,0.004056,0.312346
109839.0,,,3,0,3,0,0,0,0,0.003285,0.022167
72028.0,,,3,0,3,0,0,0,0,0.003285,0.022167
213325.0,,,59,59,118,3,0.383234,0.414062,0,0.003425,0.426771
1576526.0,,,14,14,28,4,0.301887,0.339844,0,0.003285,0.103446
1936834.0,,,14,14,28,4,0.301887,0.339844,0,0.003285,0.103446
1577271.0,,,14,14,28,4,0.301887,0.339844,0,0.003285,0.103446
1573701.0,,,14,14,28,4,0.301887,0.339844,0,0.003285,0.103446
1990737.0,,,14,14,28,4,0.301887,0.339844,0,0.003285,0.103446
1799043.0,,,14,14,28,4,0.301887,0.339844,0,0.003285,0.103446
2507306.0,,,14,14,28,4,0.301887,0.339844,0,0.003285,0.103446
35506.0,,,30,29,59,4,0.301887,0.339844,0,0.003285,0.22167
2532993.0,,,14,14,28,4,0.301887,0.339844,0,0.003285,0.103446
10367.0,,,208,710,918,4,0.627451,0.798177,2576.424192,0.019377,0.136773
143237.0,,,16,10,26,5,0.387879,0.432812,0,0.003299,0.024325
145293.0,,,18,13,31,5,0.390244,0.440625,0,0.003299,0.027366
5369362.0,,,77,12,89,5,0.392638,0.448437,0.088235,0.005874,0.070996
133294.0,,,21,11,32,5,0.390244,0.440625,0,0.004326,0.027997
201102.0,,,10,6,16,5,0.392638,0.448437,0.021629,0.004393,0.012911
73632.0,,,5,0,5,0,0,0,0,0.003299,0.007602
128512.0,,,6,1,7,6,0.281938,0.30651,0,0.004576,0.007932
168323.0,,,8,0,8,0,0,0,0,0.003495,0.007838
115468.0,,,16,10,26,5,0.387879,0.432812,0,0.003299,0.024325
25317.0,,,18,12,30,5,0.387879,0.432812,0,0.003299,0.027366
26131.0,,,18,10,28,5,0.387879,0.432812,0,0.003299,0.027366
35384.0,,,17,12,29,5,0.390244,0.440625,0,0.005037,0.024519
194328.0,,,9,3,12,5,0.390244,0.440625,0,0.003935,0.011304
47323.0,,,16,10,26,5,0.387879,0.432812,0,0.003299,0.024325
47799.0,,,19,12,31,5,0.387879,0.432812,0,0.003299,0.028886
89225.0,,,20,11,31,5,0.390244,0.440625,0,0.004326,0.029097
103552.0,,,16,10,26,5,0.387879,0.432812,0,0.003299,0.024325
103447.0,,,17,11,28,5,0.390244,0.440625,63,0.008586,0.024483
138870.0,,,5,0,5,0,0,0,0,0.003299,0.007602
170514.0,,,7,1,8,1,1,1,0,0.010322,0.007914
148786.0,,,6,2,8,1,1,1,0,0.012527,0.007761
116316.0,,,5,0,5,0,0,0,0,0.003299,0.007602
193392.0,,,5,0,5,0,0,0,0,0.003299,0.007602
139376.0,,,5,0,5,0,0,0,0,0.003299,0.007602
128833.0,,,5,0,5,0,0,0,0,0.003299,0.007602
101513.0,,,5,0,5,0,0,0,0,0.003299,0.007602
176596.0,,,5,0,5,0,0,0,0,0.003299,0.007602
5341218.0,,,82,4,86,5,0.387879,0.432812,0,0.007361,0.076811
5369366.0,,,66,20,86,5,0.397516,0.464062,0,0.004728,0.063654
5369364.0,,,70,16,86,5,0.395062,0.45625,0,0.005073,0.066718
5369360.0,,,78,8,86,5,0.390244,0.440625,0,0.006262,0.073319
5369368.0,,,62,24,86,5,0.4,0.471875,0,0.004457,0.060723
5369370.0,,,58,28,86,5,0.402516,0.479687,0,0.004237,0.057918
5369372.0,,,54,32,86,5,0.405063,0.4875,0,0.004054,0.055236
5369374.0,,,50,36,86,5,0.407643,0.495312,0,0.003899,0.052672
5369376.0,,,46,40,86,5,0.410256,0.503125,0,0.003765,0.050222
5369378.0,,,42,44,86,5,0.412903,0.510938,0,0.003648,0.04788
5369380.0,,,38,48,86,5,0.415584,0.51875,0,0.003546,0.045645
5369382.0,,,34,52,86,5,0.418301,0.526563,0,0.003455,0.04351
5372502.0,,,30,56,86,5,0.421053,0.534375,0,0.003373,0.041473
5376451.0,,,26,60,86,5,0.423841,0.542188,0,0.003299,0.039529
120401.0,,,5,2,7,4,0.281369,0.308559,0,0.003455,0.000394
112581.0,,,3,0,3,0,0,0,0,0.003455,0.000236
113183.0,,,3,0,3,0,0,0,0,0.003455,0.000236
117443.0,,,3,0,3,0,0,0,0,0.003455,0.000236
81923.0,,,5,1,6,1,1,1,0,0.010584,0.00072
