Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,eigencentrality
11196.0,,,1263,1771,3034,3,0.619048,0.698718,29327.977985,0.011451,1
189049.0,,,10,4,14,4,0.383057,0.401442,0,0.000848,0.020358
174325.0,,,10,4,14,4,0.383057,0.401442,0,0.000848,0.020358
173953.0,,,18,8,26,3,0.390977,0.411859,0.891667,0.000982,0.020926
98649.0,,,217,155,372,3,0.453159,0.479968,148.07111,0.001059,0.153878
70383.0,,,11,4,15,4,0.383057,0.401442,0,0.000848,0.022393
85278.0,,,10,4,14,4,0.383057,0.401442,0,0.000848,0.020358
205903.0,,,11,4,15,4,0.383057,0.401442,0,0.000848,0.022393
167537.0,,,10,4,14,4,0.383057,0.401442,0,0.000848,0.020358
206671.0,,,300,273,573,3,0.448276,0.474359,354.563279,0.001209,0.343778
148743.0,,,11,6,17,4,0.383764,0.403846,0,0.000854,0.021057
64427.0,,,10,4,14,4,0.383057,0.401442,0,0.000848,0.020358
132133.0,,,10,4,14,4,0.383057,0.401442,0,0.000848,0.020358
89713.0,,,68,51,119,4,0.400771,0.422276,0,0.000854,0.095799
161400.0,,,6,0,6,0,0,0,0,0.000848,0.012215
64331.0,,,360,232,592,3,0.455142,0.481571,549.772021,0.001047,0.288593
110190.0,,,13,4,17,4,0.383057,0.401442,0,0.000848,0.026465
110931.0,,,91,71,162,3,0.410256,0.433494,2.978204,0.000871,0.098565
34532.0,,,489,407,896,3,0.468468,0.49359,2092.657822,0.001006,0.401547
183078.0,,,10,4,14,4,0.383057,0.401442,0,0.000848,0.020358
169768.0,,,12,5,17,4,0.383764,0.403846,0,0.001131,0.020476
149822.0,,,11,6,17,4,0.383764,0.403846,0,0.001165,0.020417
99191.0,,,67,54,121,4,0.412698,0.434295,0,0.000854,0.104543
81498.0,,,36,25,61,4,0.400771,0.422276,0,0.000854,0.049703
128193.0,,,10,4,14,4,0.383057,0.401442,0,0.000848,0.020358
129072.0,,,3,0,3,0,0,0,0,0.000848,0.006107
100421.0,,,5,1,6,4,0.383057,0.401442,0,0.000848,0.010179
114931.0,,,4,0,4,0,0,0,0,0.000848,0.008143
5368760.0,,,60,3,63,4,0.383057,0.401442,0,0.001895,0.036436
5369320.0,,,36,27,63,4,0.387337,0.415865,0,0.001004,0.034262
5368770.0,,,40,23,63,4,0.386617,0.413462,0,0.001058,0.034613
5368768.0,,,44,19,63,4,0.3859,0.411058,0,0.001127,0.034968
5368766.0,,,48,15,63,4,0.385185,0.408654,0,0.001219,0.035328
5368764.0,,,52,11,63,4,0.384473,0.40625,0,0.001347,0.035693
5368762.0,,,56,7,63,4,0.383764,0.403846,0,0.001542,0.036062
5369322.0,,,32,31,63,4,0.38806,0.418269,0,0.00096,0.033915
5375151.0,,,28,35,63,4,0.388785,0.420673,0,0.000924,0.033573
5381919.0,,,24,39,63,4,0.389513,0.423077,0,0.000895,0.033235
5381921.0,,,20,43,63,4,0.390244,0.425481,0,0.000869,0.032902
5388943.0,,,16,47,63,4,0.390977,0.427885,0,0.000848,0.032572
5392021.0,,,7,0,7,0,0,0,0,0.000848,0.01425
14825.0,,,945,1034,1979,3,0.435146,0.503205,7740.613862,0.002764,0.540776
79739.0,,,3,0,3,0,0,0,0,0.00084,0.003386
62583.0,,,51,40,91,4,0.310912,0.335737,12.490403,0.000868,0.0466
84767.0,,,64,49,113,4,0.334944,0.362981,45.923585,0.000891,0.038321
112640.0,,,71,71,142,4,0.307692,0.330128,0,0.000862,0.057515
154537.0,,,33,28,61,4,0.30365,0.324119,0,0.00084,0.037246
81090.0,,,136,156,292,4,0.324493,0.352965,160.599979,0.000846,0.125563
9370.0,,,74,61,135,3,0.407843,0.434295,2.848321,0.001053,0.07388
99682.0,,,65,57,122,4,0.30365,0.324119,4.0983,0.000846,0.074161
110907.0,,,26,22,48,4,0.30365,0.324119,0,0.00084,0.029346
110894.0,,,3,0,3,0,0,0,0,0.00084,0.003386
873927.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
874092.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
874284.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
874160.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
874182.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
874030.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
874124.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
869457.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
875152.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
868670.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
874784.0,,,14,15,29,4,0.30365,0.324119,0,0.00084,0.015801
5344482.0,,,25,3,28,4,0.30365,0.324119,0,0.001121,0.019661
5344484.0,,,21,7,28,4,0.304094,0.326522,0,0.000932,0.019423
5367720.0,,,17,11,28,4,0.304539,0.328926,0,0.00084,0.019187
17068.0,,,338,624,962,3,0.436059,0.479968,1170.616,0.001268,0.236456
14597.0,,,672,873,1545,3,0.432432,0.497596,6791.924766,0.00321,0.333964
119805.0,,,3,0,3,0,0,0,0,0.00084,0.002153
85294.0,,,106,91,197,4,0.360485,0.394231,144.227947,0.000851,0.111058
206242.0,,,244,161,405,3,0.423625,0.447917,108.058056,0.000871,0.168824
89056.0,,,61,57,118,4,0.314199,0.33774,0,0.000843,0.04229
106349.0,,,3,0,3,0,0,0,0,0.00084,0.002153
68449.0,,,154,156,310,4,0.317073,0.344151,87.921673,0.000845,0.135197
978175.0,,,14,15,29,4,0.302326,0.322115,0,0.00084,0.01005
977527.0,,,14,15,29,4,0.302326,0.322115,0,0.00084,0.01005
979123.0,,,14,15,29,4,0.302326,0.322115,0,0.00084,0.01005
971424.0,,,14,15,29,4,0.302326,0.322115,0,0.00084,0.01005
979069.0,,,14,15,29,4,0.302326,0.322115,0,0.00084,0.01005
5338506.0,,,58,3,61,4,0.302326,0.322115,0,0.001826,0.01498
5353216.0,,,30,31,61,4,0.305433,0.338942,0,0.000925,0.013502
5348210.0,,,34,27,61,4,0.304985,0.336538,0,0.000966,0.013702
5348208.0,,,38,23,61,4,0.304539,0.334135,0,0.001018,0.013906
5348206.0,,,42,19,61,4,0.304094,0.331731,0,0.001084,0.014113
5348204.0,,,46,15,61,4,0.30365,0.329327,0,0.001172,0.014324
5348202.0,,,50,11,61,4,0.303207,0.326923,0,0.001295,0.014539
5348200.0,,,54,7,61,4,0.302766,0.324519,0,0.001484,0.014758
5368806.0,,,26,35,61,4,0.305882,0.341346,0,0.000891,0.013305
5370236.0,,,22,39,61,4,0.306333,0.34375,0,0.000863,0.013111
5370842.0,,,18,43,61,4,0.306785,0.346154,0,0.00084,0.012921
