Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,eigencentrality
12201.0,,,0,135,135,1,1,1,0,0.012895,0
139869.0,,,3,0,3,0,0,0,0,0.01301,0.001779
65958.0,,,3,0,3,0,0,0,0,0.01301,0.001779
164259.0,,,3,0,3,0,0,0,0,0.01301,0.001779
156759.0,,,3,0,3,0,0,0,0,0.01301,0.001779
157444.0,,,3,0,3,0,0,0,0,0.01301,0.001779
127653.0,,,3,0,3,0,0,0,0,0.01301,0.001779
191436.0,,,3,0,3,0,0,0,0,0.01301,0.001779
174926.0,,,3,0,3,0,0,0,0,0.01301,0.001779
66313.0,,,3,0,3,0,0,0,0,0.01301,0.001779
5381165.0,,,48,20,68,1,1,1,0,0.017868,0.30425
95420.0,,,3,0,3,0,0,0,0,0.01301,0.001779
69503.0,,,3,0,3,0,0,0,0,0.01301,0.001779
5381157.0,,,62,4,66,1,1,1,0,0.026035,0.802377
5381155.0,,,66,0,66,0,0,0,0,0.033724,1
5381163.0,,,50,16,66,1,1,1,0,0.018992,0.393343
5381161.0,,,54,12,66,1,1,1,0,0.020478,0.50373
5381159.0,,,58,8,66,1,1,1,0,0.022593,0.63862
5381167.0,,,42,24,66,1,1,1,0,0.016976,0.230971
5381169.0,,,38,28,66,1,1,1,0,0.016245,0.173396
5381171.0,,,34,32,66,1,1,1,0,0.01563,0.127888
5381173.0,,,30,36,66,1,1,1,0,0.015103,0.092343
5381175.0,,,26,40,66,1,1,1,0,0.014646,0.064962
5381177.0,,,22,44,66,1,1,1,0,0.014243,0.044214
5381179.0,,,18,48,66,1,1,1,0,0.013884,0.028805
5381297.0,,,14,52,66,1,1,1,0,0.013563,0.017643
5391601.0,,,12,56,68,1,1,1,0,0.013274,0.010407
5392133.0,,,8,60,68,1,1,1,0,0.01301,0.004744
