"cas"	"cluster"
"160"	"5632-47-3"	6
"161"	"5459-58-5"	6
"162"	"544-92-3"	6
"163"	"72269-48-8"	6
"164"	"6673-35-4"	6
"165"	"55566-30-8"	6
"166"	"2497-21-4"	6
"167"	"36631-30-8"	6
"168"	"122-60-1"	6
"169"	"3710-84-7"	6
"170"	"1271-19-8"	6
"171"	"7787-59-9"	6
"172"	"7785-70-8"	6
"173"	"3179-47-3"	6
"174"	"840-65-3"	6
"175"	"1975-78-6"	6
"176"	"67-66-3"	6
"177"	"10016-20-3"	6
"178"	"109-89-7"	6
"179"	"122-70-3"	6
"180"	"578-46-1"	6
"181"	"509-60-4"	6
"182"	"626-56-2"	6
"183"	"2338-76-3"	6
"184"	"156-59-2"	6
"185"	"67-63-0"	6
"186"	"20224-45-7"	6
"187"	"111-66-0"	6
"188"	"56-89-3"	6
"189"	"352-93-2"	6
"190"	"139-66-2"	6
"191"	"137-06-4"	6
"192"	"4300-97-4"	6
"193"	"563-72-4"	6
"194"	"23432-62-4"	6
"195"	"121057-90-7"	6
"196"	"35935-34-3"	6
"197"	"4130-08-9"	6
"198"	"4016-14-2"	6
"199"	"75-60-5"	6
"200"	"879866-95-2"	6
"201"	"333-27-7"	6
"202"	"15706-73-7"	6
"203"	"60-56-0"	6
"204"	"18694-40-1"	6
"205"	"58-15-1"	6
"206"	"625-55-8"	6
"207"	"98-82-8"	6
"208"	"765-15-1"	6
"209"	"938-73-8"	6
"210"	"4536-30-5"	6
"211"	"64057-70-1"	6
"212"	"178600-17-4"	6
"213"	"7791-18-6"	6
"214"	"22915-73-7"	6
"215"	"123-35-3"	6
"216"	"64808-48-6"	6
"217"	"5138-18-1"	6
"218"	"100-64-1"	6
"219"	"2554-06-5"	6
"220"	"487-93-4"	6
"221"	"591-17-3"	6
"222"	"2420-87-3"	6
"223"	"118-56-9"	6
"224"	"137-40-6"	6
"225"	"67874-72-0"	6
"226"	"98-53-3"	6
"227"	"7007-96-7"	6
"228"	"1975-50-4"	6
"229"	"124-12-9"	6
"230"	"2270-60-2"	6
"231"	"26259-45-0"	6
"232"	"636-26-0"	6
"233"	"4684-94-0"	6
"234"	"684-93-5"	6
"235"	"486-12-4"	7
"236"	"1094-08-2"	7
"237"	"6452-73-9"	7
"238"	"3239-45-0"	7
"239"	"110-65-6"	7
"240"	"68677-26-9"	7
"241"	"31895-22-4"	7
"242"	"15663-27-1"	7
"243"	"1450-85-7"	7
"244"	"33032-12-1"	7
"245"	"135-23-9"	7
"246"	"5424-37-3"	7
"247"	"61546-00-7"	7
"248"	"53179-07-0"	7
"249"	"1176-08-5"	7
"250"	"5437-45-6"	7
"251"	"541-53-7"	7
"252"	"28777-98-2"	7
"253"	"NOCAS_48895"	7
"254"	"2365-48-2"	7
"255"	"55704-78-4"	7
"256"	"68916-76-7"	7
"257"	"90045-36-6"	7
"258"	"57574-09-1"	7
"259"	"58066-85-6"	7
