"cas"	"cluster"
"942"	"67469-78-7"	25
"943"	"54965-24-1"	25
"944"	"10540-29-1"	25
"945"	"64359-81-5"	25
"946"	"57-09-0"	25
"947"	"53152-21-9"	25
"948"	"NOCAS_47353"	25
"949"	"3179-80-4"	25
"950"	"68392-35-8"	25
"951"	"364782-34-3"	25
"952"	"95-38-5"	25
"953"	"89778-27-8"	25
"954"	"538-71-6"	25
"955"	"20562-02-1"	25
"956"	"141626-36-0"	25
"957"	"1461-25-2"	26
"958"	"115-09-3"	26
"959"	"2634-33-5"	26
"960"	"941-69-5"	26
"961"	"731-27-1"	26
"962"	"26530-20-1"	26
"963"	"6317-18-6"	26
"964"	"58-27-5"	26
"965"	"541-59-3"	26
"966"	"1192-52-5"	26
"967"	"117-80-6"	26
"968"	"21564-17-0"	26
"969"	"118-75-2"	26
"970"	"31519-22-9"	26
"971"	"1085-98-9"	26
"972"	"13676-54-5"	26
"973"	"481-85-6"	26
"974"	"20004-62-0"	27
"975"	"70-30-4"	27
"976"	"39156-41-7"	27
"977"	"122453-73-0"	27
"978"	"87-10-5"	27
"979"	"630-60-4"	27
"980"	"20830-75-5"	27
"981"	"466-06-8"	27
"982"	"17598-65-1"	27
"983"	"50-65-7"	27
"984"	"71751-41-2"	27
"985"	"1154-59-2"	27
"986"	"7789-12-0"	27
"987"	"4776-06-1"	27
"988"	"71-63-6"	27
"989"	"55981-09-4"	27
"990"	"84-79-7"	28
"991"	"68-90-6"	28
"992"	"66-76-2"	28
"993"	"59-05-2"	28
"994"	"50-44-2"	28
"995"	"6112-76-1"	28
"996"	"24280-93-1"	28
"997"	"3810-80-8"	28
"998"	"87-86-5"	28
"999"	"57808-65-8"	28
"1000"	"935-95-5"	28
"1001"	"95233-18-4"	28
"1002"	"22662-39-1"	28
"1003"	"574-25-4"	28
"1004"	"NOCAS_47817"	28
"1005"	"1689-83-4"	28
"1006"	"50-91-9"	28
"1007"	"2169-64-4"	28
"1008"	"844-26-8"	28
"1009"	"128794-94-5"	28
"1010"	"58-90-2"	28
"1011"	"3562-84-3"	28
"1012"	"154-42-7"	28
"1013"	"61422-45-5"	29
"1014"	"3344-77-2"	29
"1015"	"NOCAS_48792"	29
"1016"	"31698-14-3"	29
"1017"	"21416-67-1"	29
"1018"	"5421-46-5"	29
"1019"	"126-07-8"	29
"1020"	"13010-08-7"	29
"1021"	"10102-45-1"	29
"1022"	"51-21-8"	29
"1023"	"21679-14-1"	29
"1024"	"563-68-8"	29
"1025"	"112887-68-0"	29
"1026"	"36791-04-5"	29
"1027"	"305-03-3"	29
"1028"	"446-86-6"	29
"1029"	"3131-60-0"	29
"1030"	"115-33-3"	29
"1031"	"4291-63-8"	29
"1032"	"122111-03-9"	29
"1033"	"148-82-3"	29
"1034"	"69-74-9"	29
"1035"	"147-94-4"	29
"1036"	"100286-90-6"	29
"1037"	"70-00-8"	29
"1038"	"70-25-7"	29
"1039"	"123318-82-1"	29
"1040"	"142340-99-6"	29
"1041"	"152946-68-4"	29
"1042"	"14008-48-1"	29
"1043"	"114977-28-5"	29
"1044"	"3094-09-5"	29
"1045"	"537-92-8"	30
"1046"	"23947-60-6"	30
"1047"	"150375-75-0"	30
"1048"	"346-18-9"	30
"1049"	"128-39-2"	30
"1050"	"99011-02-6"	30
"1051"	"29676-71-9"	30
"1052"	"79098-20-7"	30
"1053"	"598-91-4"	30
"1054"	"2439-10-3"	30
"1055"	"92-59-1"	30
"1056"	"7534-94-3"	30
"1057"	"3622-84-2"	30
"1058"	"21590-92-1"	30
"1059"	"144-19-4"	30
"1060"	"58846-77-8"	30
"1061"	"104206-82-8"	30
"1062"	"4437-51-8"	30
"1063"	"40876-98-0"	30
"1064"	"622-62-8"	30
"1065"	"181695-72-7"	30
"1066"	"104-31-4"	30
"1067"	"69806-40-2"	30
"1068"	"13494-07-0"	30
"1069"	"63721-05-1"	30
"1070"	"851916-42-2"	30
"1071"	"101-63-3"	30
"1072"	"258273-75-5"	30
"1073"	"827027-25-8"	30
"1074"	"155371-19-0"	30
"1075"	"1892-80-4"	30
"1076"	"137-58-6"	30
"1077"	"127-68-4"	30
"1078"	"1117-55-1"	30
"1079"	"25332-39-2"	30
"1080"	"144598-75-4"	30
"1081"	"9005-65-6"	30
"1082"	"77883-43-3"	30
"1083"	"630-16-0"	30
"1084"	"38462-22-5"	30
"1085"	"3717-88-2"	30
"1086"	"3586-14-9"	30
"1087"	"94-70-2"	30
"1088"	"64628-44-0"	30
"1089"	"80-13-7"	30
"1090"	"110-71-4"	30
"1091"	"13816-33-6"	30
"1092"	"1192-28-5"	30
"1093"	"140-57-8"	30
"1094"	"81-49-2"	30
"1095"	"59-89-2"	30
"1096"	"25973-55-1"	30
"1097"	"7324-00-7"	31
"1098"	"2304-30-5"	31
"1099"	"3115-68-2"	31
"1100"	"84370-95-6"	31
"1101"	"64-52-8"	31
"1102"	"81098-60-4"	31
"1103"	"298-57-7"	31
"1104"	"54143-56-5"	31
"1105"	"112108-01-7"	31
"1106"	"5397-31-9"	31
"1107"	"1643-19-2"	31
"1108"	"71119-11-4"	31
"1109"	"2062-84-2"	31
"1110"	"74050-98-9"	31
"1111"	"2001-81-2"	31
"1112"	"2062-77-3"	31
"1113"	"112192-04-8"	31
"1114"	"20445-94-7"	31
"1115"	"75444-65-4"	31
"1116"	"139290-65-6"	31
"1117"	"2922-44-3"	31
"1118"	"162408-66-4"	31
"1119"	"1473-95-6"	31
"1120"	"1054-88-2"	31
"1121"	"38821-52-2"	31
"1122"	"3200-06-4"	31
"1123"	"156727-74-1"	31
"1124"	"90736-23-5"	31
"1125"	"34140-59-5"	31
"1126"	"56-54-2"	31
"1127"	"NOCAS_47362"	31
"1128"	"405514-94-5"	31
"1129"	"4186-68-9"	31
"1130"	"90-54-0"	31
"1131"	"5156-58-1"	31
"1132"	"85-79-0"	31
"1133"	"60-41-3"	31
"1134"	"110488-70-5"	31
"1135"	"181640-09-5"	31
"1136"	"106266-06-2"	31
"1137"	"548-73-2"	31
"1138"	"86197-47-9"	31
"1139"	"52-53-9"	31
"1140"	"39731-05-0"	31
"1141"	"5588-33-0"	31
"1142"	"1095-90-5"	31
"1143"	"NOCAS_48176"	31
"1144"	"124819-25-6"	31
"1145"	"2753-45-9"	31
"1146"	"133454-47-4"	31
"1147"	"1649-18-9"	31
"1148"	"79278-88-9"	31
"1149"	"537-12-2"	31
"1150"	"5560-59-8"	31
"1151"	"95-83-0"	34
"1152"	"81-64-1"	34
"1153"	"610-39-9"	34
"1154"	"8028-48-6"	34
"1155"	"3290-92-4"	34
"1156"	"22888-70-6"	34
"1157"	"53-86-1"	35
"1158"	"79714-31-1"	35
"1159"	"478-43-3"	35
"1160"	"64-73-3"	35
"1161"	"5809-23-4"	35
"1162"	"460081-99-6"	35
"1163"	"113136-77-9"	35
"1164"	"10469-09-7"	35
"1165"	"79558-09-1"	35
"1166"	"22494-42-4"	35
"1167"	"112529-15-4"	35
"1168"	"61-68-7"	35
"1169"	"136381-85-6"	35
"1170"	"77501-90-7"	35
"1171"	"10592-13-9"	35
"1172"	"4394-00-7"	35
"1173"	"49627-27-2"	35
"1174"	"530-78-9"	35
"1175"	"38194-50-2"	35
"1176"	"59973-80-7"	35
"1177"	"88107-10-2"	35
"1178"	"64-75-5"	35
"1179"	"28772-56-7"	35
"1180"	"60-33-3"	35
"1181"	"144701-48-4"	35
"1182"	"136042-19-8"	35
"1183"	"6385-02-0"	35
"1184"	"50892-23-4"	35
"1185"	"13739-02-1"	35
"1186"	"14228-73-0"	35
"1187"	"6515-38-4"	35
"1188"	"50264-69-2"	35
"1189"	"155141-29-0"	35
"1190"	"13710-19-5"	35
"1191"	"41826-92-0"	35
"1192"	"710-04-3"	35
"1193"	"83-88-5"	36
"1194"	"17372-87-1"	36
"1195"	"64-72-2"	36
"1196"	"15086-94-9"	36
"1197"	"2321-07-5"	36
"1198"	"518-47-8"	36
"1199"	"27072-45-3"	36
"1200"	"752-56-7"	36
"1201"	"204005-46-9"	36
"1202"	"NOCAS_47330"	36
"1203"	"119413-54-6"	36
"1204"	"2693-46-1"	36
"1205"	"952-23-8"	36
"1206"	"1811-28-5"	36
"1207"	"41532-84-7"	36
"1208"	"404001-49-6"	37
"1209"	"171058-21-2"	37
"1210"	"8001-54-5"	37
"1211"	"139-07-1"	37
"1212"	"7281-04-1"	37
"1213"	"61546-01-8"	37
"1214"	"244193-64-4"	37
"1215"	"404001-50-9"	37
"1216"	"122-19-0"	37
"1217"	"56-95-1"	37
"1218"	"3697-42-5"	37
"1219"	"4574-04-3"	37
"1220"	"1119-97-7"	37
"1221"	"75-07-0"	37
"1222"	"404001-48-5"	37
"1223"	"114569-84-5"	37
"1224"	"219947-93-0"	37
"1225"	"244193-59-7"	37
"1226"	"404001-52-1"	37
"1227"	"989-38-8"	37
"1228"	"219947-96-3"	37
"1229"	"140-72-7"	37
"1230"	"123-03-5"	37
"1231"	"11099-03-9"	37
"1232"	"112-03-8"	37
"1233"	"63449-41-2"	37
"1234"	"122-18-9"	37
"1235"	"1155-74-4"	37
"1236"	"121-54-0"	37
"1237"	"25155-18-4"	37
"1238"	"124-03-8"	37
"1239"	"68391-01-5"	37
"1240"	"56-35-9"	38
"1241"	"100-56-1"	38
"1242"	"76-87-9"	38
"1243"	"7487-94-7"	38
"1244"	"7774-29-0"	38
"1245"	"637-03-6"	38
"1246"	"1600-27-7"	38
"1247"	"101-96-2"	38
"1248"	"3737-41-5"	38
"1249"	"81-55-0"	38
"1250"	"54-64-8"	38
"1251"	"379-52-2"	38
"1252"	"548-62-9"	38
"1253"	"506-61-6"	38
"1254"	"3347-22-6"	38
"1255"	"594-30-9"	38
"1256"	"683-18-1"	38
"1257"	"122-64-5"	38
"1258"	"1162-06-7"	38
"1259"	"97-00-7"	38
"1260"	"900-95-8"	38
"1261"	"62-38-4"	38
"1262"	"1594-56-5"	38
"1263"	"1897-45-6"	39
"1264"	"15625-89-5"	39
"1265"	"29091-09-6"	39
"1266"	"137-30-4"	39
"1267"	"484-17-3"	39
"1268"	"3524-68-3"	39
"1269"	"2447-54-3"	39
"1270"	"60506-81-2"	39
"1271"	"2425-06-1"	39
"1272"	"17824-83-8"	39
"1273"	"4986-89-4"	39
"1274"	"2767-54-6"	39
"1275"	"137-26-8"	39
"1276"	"13967-50-5"	39
"1277"	"2243-61-0"	39
"1278"	"13463-41-7"	39
"1279"	"303-45-7"	39
"1280"	"97-74-5"	39
"1281"	"14324-55-1"	39
"1282"	"676116-04-4"	39
"1283"	"555-60-2"	39
"1284"	"2437-29-8"	39
"1285"	"14484-64-1"	39
"1286"	"180084-01-9"	39
"1287"	"804-36-4"	39
"1288"	"513-92-8"	39
"1289"	"3696-28-4"	39
"1290"	"137-29-1"	39
"1291"	"375395-33-8"	39
"1292"	"97-24-5"	40
"1293"	"135-62-6"	40
"1294"	"444610-91-7"	40
"1295"	"110-25-8"	40
"1296"	"609-19-8"	40
"1297"	"1061517-62-1"	40
"1298"	"288104-79-0"	40
"1299"	"317318-84-6"	40
"1300"	"97-18-7"	40
"1301"	"6385-58-6"	40
"1302"	"158081-99-3"	40
"1303"	"153559-49-0"	40
"1304"	"107071-66-9"	40
"1305"	"149413-74-1"	40
"1306"	"54574-82-2"	40
"1307"	"67-97-0"	40
"1308"	"117279-73-9"	40
"1309"	"4901-51-3"	40
"1310"	"298-07-7"	40
"1311"	"434-13-9"	40
"1312"	"608-71-9"	40
"1313"	"3691-35-8"	40
"1314"	"79-94-7"	40
"1315"	"196808-45-4"	40
"1316"	"11096-82-5"	41
"1317"	"1689-99-2"	41
"1318"	"102-08-9"	41
"1319"	"NOCAS_47374"	41
"1320"	"153233-91-1"	41
"1321"	"587-90-6"	41
"1322"	"285983-48-4"	41
"1323"	"58493-49-5"	41
"1324"	"62924-70-3"	41
"1325"	"754-91-6"	41
"1326"	"329-01-1"	41
"1327"	"1689-84-5"	41
"1328"	"107753-78-6"	41
"1329"	"71653-63-9"	42
"1330"	"55219-65-3"	42
"1331"	"53370-90-4"	42
"1332"	"53558-25-1"	42
"1333"	"146653-56-7"	42
"1334"	"60207-93-4"	42
"1335"	"150683-30-0"	42
"1336"	"28159-98-0"	42
"1337"	"51707-55-2"	42
"1338"	"75695-93-1"	42
"1339"	"82-02-0"	42
"1340"	"70693-59-3"	42
"1341"	"26225-79-6"	42
"1342"	"886-50-0"	42
"1343"	"134605-64-4"	42
"1344"	"101-61-1"	42
"1345"	"82626-01-5"	42
"1346"	"86-16-8"	42
"1347"	"709-98-8"	42
"1348"	"94497-51-5"	42
"1349"	"1214-39-7"	42
"1350"	"61213-25-0"	42
"1351"	"NOCAS_45208"	42
"1352"	"82558-50-7"	42
"1353"	"66441-23-4"	42
"1354"	"71283-80-2"	42
"1355"	"39562-70-4"	42
"1356"	"353280-07-6"	42
"1357"	"145858-50-0"	42
"1358"	"214535-77-0"	42
"1359"	"66085-59-4"	42
"1360"	"522-97-4"	42
"1361"	"30544-47-9"	42
"1362"	"404-86-4"	42
"1363"	"57609-64-0"	42
"1364"	"112885-42-4"	42
"1365"	"59937-28-9"	42
"1366"	"101530-10-3"	42
"1367"	"605-71-0"	42
"1368"	"27877-51-6"	43
"1369"	"51338-27-3"	43
"1370"	"117-83-9"	43
"1371"	"51-03-6"	43
"1372"	"94-28-0"	43
"1373"	"54464-57-2"	43
"1374"	"18268-70-7"	43
"1375"	"88671-89-0"	43
"1376"	"13014-18-1"	43
"1377"	"538-74-9"	43
"1378"	"1742-14-9"	43
"1379"	"1104-22-9"	43
"1380"	"82657-04-3"	43
"1381"	"76578-14-8"	43
"1382"	"68-36-0"	43
"1383"	"55142-85-3"	43
"1384"	"131983-72-7"	43
"1385"	"72-56-0"	43
"1386"	"6928-67-2"	43
"1387"	"87818-31-3"	43
"1388"	"77-90-7"	43
"1389"	"12674-11-2"	43
"1390"	"573-17-1"	43
"1391"	"3278-89-5"	43
"1392"	"80-33-1"	43
"1393"	"4559-86-8"	43
"1394"	"83-66-9"	43
"1395"	"122008-85-9"	43
"1396"	"69806-50-4"	43
"1397"	"79241-46-6"	43
"1398"	"10453-86-8"	43
"1399"	"28434-01-7"	43
"1400"	"60348-60-9"	43
"1401"	"32534-81-9"	43
"1402"	"1836-75-5"	43
"1403"	"95-06-7"	43
"1404"	"39515-41-8"	43
"1405"	"2050-47-7"	43
"1406"	"32388-55-9"	43
"1407"	"66898-62-2"	44
"1408"	"13927-77-0"	44
"1409"	"130929-57-6"	44
"1410"	"1271-28-9"	44
"1411"	"71-48-7"	44
"1412"	"7718-54-9"	44
"1413"	"10026-24-1"	44
"1414"	"1277-43-6"	44
"1415"	"91-44-1"	45
"1416"	"3331-46-2"	45
"1417"	"50-32-8"	45
"1418"	"396-01-0"	45
"1419"	"1216920-18-1"	45
"1420"	"205-99-2"	45
"1421"	"87-01-4"	45
"1422"	"207-08-9"	45
"1423"	"103764-33-6"	45
"1424"	"58-32-2"	45
"1425"	"16470-24-9"	45
"1426"	"1210-12-4"	45
"1427"	"1081-34-1"	45
"1428"	"63041-77-0"	45
"1429"	"27344-41-8"	45
"1430"	"38609-97-1"	45
"1431"	"52417-22-8"	45
"1432"	"613-13-8"	45
"1433"	"4884-68-8"	45
"1434"	"57-97-6"	46
"1435"	"5315-79-7"	46
"1436"	"523-27-3"	46
"1437"	"6402-23-9"	46
"1438"	"103890-78-4"	46
"1439"	"6151-30-0"	46
"1440"	"7328-97-4"	46
"1441"	"54350-48-0"	46
"1442"	"90-33-5"	46
"1443"	"130-17-6"	46
"1444"	"17135-78-3"	46
"1445"	"2107-76-8"	46
"1446"	"54-62-6"	46
"1447"	"61445-50-9"	46
"1448"	"94739-29-4"	46
"1449"	"86541-74-4"	46
"1450"	"1564-64-3"	46
"1451"	"183321-74-6"	47
"1452"	"1397-89-3"	47
"1453"	"253450-09-8"	47
"1454"	"3569-10-6"	47
"1455"	"461023-63-2"	47
"1456"	"65513-72-6"	47
"1457"	"97322-87-7"	47
"1458"	"189003-92-7"	47
"1459"	"87051-43-2"	47
"1460"	"603-50-9"	47
"1461"	"302-95-4"	47
"1462"	"14663-23-1"	47
"1463"	"50-55-5"	47
"1464"	"474-25-9"	47
"1465"	"152-11-4"	47
"1466"	"1135280-78-2"	47
"1467"	"102121-60-8"	47
"1468"	"104795-68-8"	47
"1469"	"668981-02-0"	47
"1470"	"71422-67-8"	47
"1471"	"5493-45-8"	47
"1472"	"117332-94-2"	47
"1473"	"313994-79-5"	47
"1474"	"111974-72-2"	47
"1475"	"5522-43-0"	48
"1476"	"5259-88-1"	48
"1477"	"58-54-8"	48
"1478"	"170364-57-5"	48
"1479"	"22978-25-2"	48
"1480"	"630-56-8"	48
"1481"	"28768-32-3"	48
"1482"	"64506-49-6"	48
"1483"	"23184-66-9"	48
"1484"	"66072-38-6"	48
"1485"	"120210-48-2"	48
"1486"	"168273-06-1"	48
"1487"	"192725-17-0"	48
"1488"	"1675-54-3"	48
"1489"	"52-01-7"	48
"1490"	"134308-13-7"	48
"1491"	"155213-67-5"	48
"1492"	"59865-13-3"	48
"1493"	"1176-74-5"	48
"1494"	"51-24-1"	48
"1495"	"84371-65-3"	48
"1496"	"39025-24-6"	48
"1497"	"2095-03-6"	48
"1498"	"221246-12-4"	48
"1499"	"603-33-8"	48
"1500"	"2390-60-5"	49
"1501"	"70862-65-6"	49
"1502"	"14866-33-2"	49
"1503"	"155569-91-8"	49
"1504"	"1461-22-9"	49
"1505"	"NOCAS_47377"	49
"1506"	"88-24-4"	49
"1507"	"67485-29-4"	49
"1508"	"7173-51-5"	49
"1509"	"4342-36-3"	49
"1510"	"119-47-1"	49
"1511"	"1715-30-6"	49
"1512"	"2155-70-6"	49
"1513"	"26864-56-2"	49
"1514"	"85-60-9"	49
"1515"	"258864-54-9"	49
"1516"	"374683-44-0"	49
"1517"	"654057-97-3"	49
"1518"	"701921-71-3"	49
"1519"	"3282-73-3"	49
"1520"	"68047-06-3"	49
"1521"	"11024-24-1"	49
"1522"	"79622-59-6"	49
"1523"	"NOCAS_34742"	49
"1524"	"23906-97-0"	49
"1525"	"203942-49-8"	49
"1526"	"497-39-2"	49
"1527"	"81741-28-8"	49
"1528"	"NOCAS_49391"	49
"1529"	"13331-52-7"	49
"1530"	"5137-55-3"	49
"1531"	"121107-18-4"	49
"1532"	"39300-45-3"	50
"1533"	"145040-37-5"	50
"1534"	"9004-98-2"	50
"1535"	"116-31-4"	50
"1536"	"221671-62-1"	50
"1537"	"825643-57-0"	50
"1538"	"15721-02-5"	50
"1539"	"65277-42-1"	50
"1540"	"369-77-7"	50
"1541"	"123524-52-7"	50
"1542"	"139340-56-0"	51
"1543"	"NOCAS_47328"	51
"1544"	"82640-04-8"	51
"1545"	"84449-90-1"	51
"1546"	"551-06-4"	51
"1547"	"79794-75-5"	51
"1548"	"686756-87-6"	51
"1549"	"61931-82-6"	51
"1550"	"97-23-4"	51
"1551"	"1092351-67-1"	51
"1552"	"5613-46-7"	51
"1553"	"267243-28-7"	51
"1554"	"4162-45-2"	51
"1555"	"843-55-0"	51
"1556"	"918639-10-8"	51
"1557"	"NOCAS_47379"	51
"1558"	"NOCAS_48505"	51
"1559"	"302962-49-8"	51
"1560"	"472-86-6"	52
"1561"	"63-92-3"	52
"1562"	"959-98-8"	52
"1563"	"56803-37-3"	52
"1564"	"115-86-6"	52
"1565"	"602-38-0"	53
"1566"	"40487-42-1"	53
"1567"	"2510-55-6"	53
"1568"	"220860-50-4"	53
"1569"	"2835-97-4"	53
"1570"	"103361-09-7"	53
"1571"	"6285-57-0"	53
"1572"	"137-19-9"	53
"1573"	"85-02-9"	53
"1574"	"15950-66-0"	53
"1575"	"3567-62-2"	53
"1576"	"491-59-8"	53
"1577"	"1468-95-7"	53
"1578"	"135-19-3"	53
"1579"	"90-15-3"	53
"1580"	"95-95-4"	53
"1581"	"136-32-3"	53
"1582"	"481-74-3"	53
"1583"	"131-53-3"	53
"1584"	"102-36-3"	53
"1585"	"145-39-1"	53
"1586"	"2467-02-9"	53
"1587"	"NOCAS_49555"	53
"1588"	"80-00-2"	53
"1589"	"144-79-6"	53
"1590"	"38083-17-9"	53
"1591"	"132-32-1"	53
"1592"	"6109-97-3"	53
"1593"	"103055-07-8"	53
"1594"	"15387-18-5"	53
"1595"	"86-74-8"	53
"1596"	"51632-16-7"	53
"1597"	"4707-47-5"	53
"1598"	"591-35-5"	53
"1599"	"95-77-2"	53
"1600"	"92-84-2"	53
"1601"	"1918-18-9"	53
"1602"	"25059-80-7"	53
"1603"	"43121-43-3"	53
"1604"	"15299-99-7"	53
"1605"	"607-57-8"	53
"1606"	"835-11-0"	53
"1607"	"97886-45-8"	53
"1608"	"149-30-4"	53
"1609"	"20265-97-8"	54
"1610"	"104-94-9"	54
"1611"	"101-37-1"	54
"1612"	"8018-01-7"	54
"1613"	"4979-32-2"	54
"1614"	"92-43-3"	54
"1615"	"120-37-6"	54
"1616"	"2835-95-2"	54
"1617"	"95-64-7"	54
"1618"	"13047-13-7"	54
"1619"	"26471-62-5"	54
"1620"	"1477-42-5"	54
"1621"	"138786-67-1"	54
"1622"	"59-88-1"	54
"1623"	"100-63-0"	54
"1624"	"101-80-4"	54
"1625"	"49763-96-4"	54
"1626"	"156-43-4"	54
"1627"	"102625-70-7"	54
"1628"	"91-59-8"	54
"1629"	"638-03-9"	54
"1630"	"75507-68-5"	54
"1631"	"132-66-1"	54
"1632"	"553-53-7"	54
"1633"	"2595-54-2"	54
"1634"	"32687-77-7"	54
"1635"	"4350-09-8"	54
"1636"	"15310-01-7"	54
"1637"	"6152-33-6"	54
"1638"	"99-07-0"	54
"1639"	"4433-79-8"	54
"1640"	"111406-87-2"	54
"1641"	"536-90-3"	54
"1642"	"2818-69-1"	54
"1643"	"8000-34-8"	54
"1644"	"482-44-0"	54
"1645"	"16452-01-0"	54
"1646"	"36734-19-7"	54
"1647"	"35838-58-5"	54
"1648"	"607-35-2"	54
"1649"	"59536-65-1"	54
"1650"	"103-72-0"	54
"1651"	"20265-96-7"	54
"1652"	"298-81-7"	54
"1653"	"85-83-6"	54
"1654"	"823-40-5"	54
"1655"	"392-12-1"	54
"1656"	"134-32-7"	54
"1657"	"94-91-7"	54
"1658"	"7364-25-2"	54
"1659"	"134-29-2"	54
"1660"	"95-80-7"	54
"1661"	"1300-73-8"	54
"1662"	"91-68-9"	54
"1663"	"541-69-5"	54
"1664"	"194098-25-4"	54
"1665"	"330-54-1"	54
"1666"	"91-61-2"	54
"1667"	"17026-81-2"	54
"1668"	"101-77-9"	54
"1669"	"5464-79-9"	54
"1670"	"6358-64-1"	54
"1671"	"12427-38-2"	54
"1672"	"16489-90-0"	54
"1673"	"15574-49-9"	54
"1674"	"113712-98-4"	54
"1675"	"29876-14-0"	54
"1676"	"5131-60-2"	54
"1677"	"2654-57-1"	54
"1678"	"7287-19-6"	55
"1679"	"4658-28-0"	55
"1680"	"1216-44-0"	55
"1681"	"85-69-8"	55
"1682"	"579-56-6"	55
"1683"	"57646-30-7"	55
"1684"	"3352-87-2"	55
"1685"	"84-74-2"	55
"1686"	"4196-89-8"	55
"1687"	"791-28-6"	55
"1688"	"39515-40-7"	55
"1689"	"6145-73-9"	55
"1690"	"22936-75-0"	55
"1691"	"131-18-0"	55
"1692"	"52315-07-8"	55
"1693"	"67375-30-8"	55
"1694"	"84-75-3"	55
"1695"	"81777-89-1"	55
"1696"	"4938-72-1"	55
"1697"	"13674-84-5"	55
"1698"	"87130-20-9"	55
"1699"	"5843-53-8"	55
"1700"	"40596-69-8"	55
"1701"	"1861-32-1"	55
"1702"	"33125-97-2"	55
"1703"	"122-69-0"	55
"1704"	"120-55-8"	55
"1705"	"54914-85-1"	55
"1706"	"1470-57-1"	55
"1707"	"957-51-7"	55
"1708"	"80443-63-6"	55
"1709"	"32809-16-8"	55
"1710"	"71888-89-6"	55
"1711"	"52645-53-1"	55
"1712"	"142-16-5"	55
"1713"	"1907-65-9"	55
"1714"	"119-75-5"	55
"1715"	"26002-80-2"	55
"1716"	"126-73-8"	55
"1717"	"14261-75-7"	55
"1718"	"100-53-8"	55
"1719"	"41122-70-7"	55
"1720"	"10552-74-6"	55
"1721"	"838-88-0"	55
"1722"	"2687-94-7"	55
"1723"	"4674-50-4"	55
"1724"	"21245-02-3"	55
"1725"	"NOCAS_45676"	55
"1726"	"2122-70-5"	55
"1727"	"5466-77-3"	55
"1728"	"86-00-0"	55
"1729"	"80844-07-1"	55
"1730"	"319-85-7"	56
"1731"	"93-46-9"	56
"1732"	"91-53-2"	57
"1733"	"191-24-2"	57
"1734"	"1552-42-7"	57
"1735"	"NOCAS_47325"	57
"1736"	"118292-40-3"	57
"1737"	"24237-54-5"	57
"1738"	"56-49-5"	57
"1739"	"10527-16-9"	57
"1740"	"192-97-2"	57
"1741"	"86-20-4"	57
"1742"	"7783-00-8"	58
"1743"	"67-20-9"	58
"1744"	"7446-08-4"	58
"1745"	"92953-10-1"	58
"1746"	"965-52-6"	58
"1747"	"72559-06-9"	59
"1748"	"123333-56-2"	59
"1749"	"95-55-6"	59
"1750"	"87-02-5"	59
"1751"	"70-34-8"	59
"1752"	"123-30-8"	59
"1753"	"13181-17-4"	59
"1754"	"836-30-6"	59
"1755"	"569-61-9"	60
"1756"	"1937-37-7"	60
"1757"	"101-54-2"	60
"1758"	"2198-59-6"	60
"1759"	"99-98-9"	60
"1760"	"138-89-6"	60
"1761"	"3844-45-9"	60
"1762"	"1260-17-9"	60
"1763"	"128-95-0"	60
"1764"	"76-60-8"	60
"1765"	"2871-01-4"	60
"1766"	"35943-35-2"	60
"1767"	"605-91-4"	60
"1768"	"129-17-9"	60
"1769"	"62625-32-5"	60
"1770"	"6219-89-2"	60
"1771"	"70476-82-3"	60
"1772"	"1401-55-4"	60
"1773"	"33229-34-4"	60
"1774"	"27591-97-5"	60
"1775"	"1239-45-8"	60
"1776"	"171869-95-7"	60
"1777"	"61-73-4"	60
"1778"	"7220-79-3"	60
"1779"	"92-31-9"	60
"1780"	"520-53-6"	60
"1781"	"115-39-9"	60
"1782"	"41372-20-7"	60
"1783"	"2353-45-9"	60
"1784"	"633-65-8"	60
"1785"	"55-55-0"	60
"1786"	"26049-70-7"	60
"1787"	"27193-86-8"	61
"1788"	"2772-45-4"	61
"1789"	"37693-01-9"	61
"1790"	"96-76-4"	61
"1791"	"140-66-9"	61
"1792"	"84852-15-3"	61
"1793"	"104-43-8"	61
"1794"	"24169-02-6"	61
"1795"	"38713-56-3"	61
"1796"	"112400-86-9"	61
"1797"	"1166-52-5"	61
"1798"	"29091-21-2"	61
"1799"	"134-09-8"	61
"1800"	"120-95-6"	61
"1801"	"27193-28-8"	61
"1802"	"61318-91-0"	62
"1803"	"65646-68-6"	62
"1804"	"148081-72-5"	62
"1805"	"57-74-9"	62
"1806"	"12789-03-6"	62
"1807"	"8001-50-1"	62
"1808"	"128420-61-1"	62
"1809"	"577-11-7"	62
"1810"	"68694-11-1"	62
"1811"	"666-99-9"	62
"1812"	"122341-38-2"	62
"1813"	"25875-51-8"	62
"1814"	"27523-40-6"	62
"1815"	"1034-01-1"	62
"1816"	"60628-96-8"	62
"1817"	"NOCAS_47366"	62
"1818"	"8001-35-2"	62
"1819"	"35554-44-0"	62
"1820"	"64211-46-7"	62
"1821"	"65899-73-2"	62
"1822"	"848641-69-0"	62
"1823"	"6807-17-6"	62
"1824"	"23593-75-1"	62
"1825"	"5153-25-3"	62
"1826"	"1943-97-1"	62
"1827"	"3380-34-5"	62
"1828"	"3236-71-3"	62
"1829"	"135-65-9"	62
"1830"	"135-57-9"	62
"1831"	"64872-77-1"	62
"1832"	"72-54-8"	63
"1833"	"5836-10-2"	63
"1834"	"59227-89-3"	63
