CAS RN	Structure_SMILES_2D-QSAR
10405-02-4	[H]C12CCC([H])(CC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1)[N+]21CCCC1
51-56-9	[H]C12CCC([H])(CC(C1)OC(=O)C(O)C1=CC=CC=C1)N2C
87-00-3	[H]C12CCC([H])(CC(C1)OC(=O)C(O)C1=CC=CC=C1)N2C
85181-40-4	[H]C12CCC([H])(CC(C1)OC(=O)C1=CC(C)=CC(C)=C1)N2C
89565-68-4	[H]C12CCC([H])(CC(C1)OC(=O)C1=CNC3=CC=CC=C13)N2C
132-17-2	[H]C12CCC([H])(CC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
86-13-5	[H]C12CCC([H])(CC(C1)OC(C1=CC=CC=C1)C1=CC=CC=C1)N2C
2169-75-7	[H]C12CCC([H])(CC(C1)OC1C3=C(CCC4=C1C=CC=C4)C=CC=C3)N2C
120-29-6	[H]C12CCC([H])(CC(O)C1)N2C
152885-09-1	[H]C12CCC([H])(N1)C(C2)C1=CC=C(Cl)N=C1
7534-94-3	[H]C12CCC(C)(C(C1)OC(=O)C(C)=C)C2(C)C
2756-56-1	[H]C12CCC(C)(C(C1)OC(=O)CC)C2(C)C
115-31-1	[H]C12CCC(C)(C(C1)OC(=O)CSC#N)C2(C)C
5655-61-8	[H]C12CCC(C)(C(C1)OC(C)=O)C2(C)C
76-49-3	[H]C12CCC(C)(C(C1)OC(C)=O)C2(C)C
125-12-2	[H]C12CCC(C)(C(C1)OC(C)=O)C2(C)C
475-20-7	[H]C12CCC3([H])C1([H])C(C)(C)CCCC3(C)C2=C
1135-66-6	[H]C12CCC3(C1)C(=CCCC3(C)C)C2(C)C
107007-99-8	[H]C12CCCC([H])(CC(C1)NC(=O)C1=NN(C)C3=CC=CC=C13)N2C
135729-62-3	[H]C12CCN(CC1)CC2N1CC2CCCC3=C2C(=CC=C3)C1=O
527680-56-4	[H]C12CCN(CC1)CC2NC(=O)C1=CC=C2OCCOC2=C1
478149-53-0	[H]C12CCN(CC1)CC2NC(=O)C1=NC=C2OC=CC2=C1
180468-39-7	[H]C12CCN(CC1)CC2OC(=O)N1CCC2=CC=CC=C2C1C1=CC=CC=C1
83-75-0	[H]C12CCN(CC1C=C)C(C2)C(OC(=O)OCC)C1=CC=NC2=CC=C(OC)C=C12
112398-08-0	[H]C12CN(C3=C(F)C=C4C(=O)C(=CN(C5CC5)C4=C3)C(O)=O)C([H])(CN1C)C2
59917-39-4	[H]C12CN(CC(O)(CC)C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C)C1C22CCN3CC=CC(CC)(C23)C(O)C1(O)C(N)=O
57-22-7	[H]C12CN(CC(O)(CC)C1)CCC1=C(NC3=CC=CC=C13)C(C2)(C(=O)OC)C1=CC2=C(C=C1OC)N(C=O)C1C22CCN3CC=CC(CC)(C23)C(OC(C)=O)C1(O)C(=O)OC
62013-04-1	[H]C12NC(COCCOC)OC([H])(C1C)C(C)(O)C(CC)OC(=O)C(C)C(OC1CC(C)(OC)C(O)C(C)O1)C(C)C(OC1OC(C)CC(C1O)N(C)C)C(C)(O)CC2C
7424-09-1	[H]C12OC(=O)C([H])(OC(O)C1O)C2O
10016-20-3	[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(O1)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O
7585-39-9	[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(OC8([H])OC(CO)C([H])(O1)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O
17465-86-0	[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(OC8([H])OC(CO)C([H])(OC9([H])OC(CO)C([H])(O1)C(O)C9O)C(O)C8O)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O
69-93-2	[H]N1C2C(=NC1=O)N([H])C(=O)N([H])C2=O
1198-77-2	[H]N1C2C(=NC1=O)N([H])C(=O)N([H])C2=O
22113-86-6	[O-][N+]([O-])=O
30781-73-8	[O-][N+]([O-])=O
22113-87-7	[O-][N+]([O-])=O
495-48-7	[O-][N+](=NC1=CC=CC=C1)C1=CC=CC=C1
138261-41-3	[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1
509-14-8	[O-][N+](=O)C([N+]([O-])=O)([N+]([O-])=O)[N+]([O-])=O
598-91-4	[O-][N+](=O)C(Br)Br
76-06-2	[O-][N+](=O)C(Cl)(Cl)Cl
102-96-5	[O-][N+](=O)C=CC1=CC=CC=C1
5153-67-3	[O-][N+](=O)C=CC1=CC=CC=C1
30007-47-7	[O-][N+](=O)C1(Br)COCOC1
528-29-0	[O-][N+](=O)C1=C(C=CC=C1)[N+]([O-])=O
610-14-0	[O-][N+](=O)C1=C(C=CC=C1)C(Cl)=O
