CAS RN	Structure_SMILES_2D-QSAR
15165-67-0	CC(OC1=C(Cl)C=C(Cl)C=C1)C(O)=O
6965-71-5	CC(OC1=C(Cl)C=CC(Cl)=C1)C(O)=O
31036-80-3	CC(OC1=C(Cl)C=CC=C1Cl)C1=NCCN1
101-10-0	CC(OC1=CC(Cl)=CC=C1)C(O)=O
445295-04-5	CC(OC1=CC(F)=C(CNC(=O)C2=C(OC3=CC=C4OCOC4=C3)N=CC=C2)C=C1)C(O)=O
69806-34-4	CC(OC1=CC=C(OC2=NC=C(C=C2Cl)C(F)(F)F)C=C1)C(O)=O
105512-06-9	CC(OC1=CC=C(OC2=NC=C(Cl)C=C2F)C=C1)C(=O)OCC#C
132-93-4	CC(OC1=CC=CC=C1)C(=O)NC1C2SC(C)(C)C(N2C1=O)C(O)=O
170729-80-3	CC(OC1OCCN(CC2=NC(=O)NN2)C1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F
103909-75-7	CC(OCCC(C)(C)O)C1CCC2C(CCCC12C)=CC=C1CC(O)CC(O)C1=C
1953-02-2	CC(S)C(=O)NCC(O)=O
4532-64-3	CC(S)C(C)S
79-24-3	CC[N+]([O-])=O
116-38-1	CC[N+](C)(C)C1=CC(O)=CC=C1
61-75-6	CC[N+](C)(C)CC1=C(Br)C=CC=C1
10052-47-8	CC[N+](C)(CC)CC
3166-62-9	CC[N+](C)(CC)CCOC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
50-10-2	CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)C1=CC=CC=C1
53-46-3	CC[N+](C)(CC)CCOC(=O)C1C2=CC=CC=C2OC2=C1C=CC=C2
3734-33-6	CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1
56-34-8	CC[N+](CC)(CC)CC
71-91-0	CC[N+](CC)(CC)CC
56-37-1	CC[N+](CC)(CC)CC1=CC=CC=C1
4310-35-4	CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C1=CC=CC=C1
2001-81-2	CC[N+](CC)(CC)CCOC(=O)C(C1CCCC1)C1CCCC1
77257-42-2	CC[N+](CC)(CC)CCOC1=CC=C(C=CC2=CC=CC=C2)C=C1
65-29-2	CC[N+](CC)(CC)CCOC1=CC=CC(OCC[N+](CC)(CC)CC)=C1OCC[N+](CC)(CC)CC
115-79-7	CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)CC1=C(Cl)C=CC=C1)CC1=C(Cl)C=CC=C1
125-51-9	CC[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
69227-51-6	CC[N+]1(C)CCCC1
121057-90-7	CC[N+]1(C)CCCC1
4186-68-9	CC[N+]1(C)CCCC1
893443-18-0	CC[N+]1(C)CCCC1
1050-48-2	CC[N+]1(CC)CCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1
4630-95-9	CC[N+]1(CC)CCC(C1C)=C(C1=CC=CC=C1)C1=CC=CC=C1
23182-46-9	CC[N+]1(CCOC(=O)C(O)(C2=CC=CC=C2)C2=CC=CC=C2)CCCCC1
292140-86-4	CC[N+]1=C(C)N(C)C=C1
174899-72-0	CC[N+]1=C(C)N(C)C=C1
1239-45-8	CC[N+]1=C(C2=CC=CC=C2)C2=C(C=CC(N)=C2)C2=C1C=C(N)C=C2
1906-79-2	CC[N+]1=CC=CC=C1
103173-73-5	CC[N+]1=CC=CC=C1
872-90-2	CC[N+]1=CC=CC=C1
3878-80-6	CC[N+]1=CC=CC=C1
17689-77-9	CC[Si](OC(C)=O)(OC(C)=O)OC(C)=O
84-17-3	CC=C(C(=CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1
84-19-5	CC=C(C(=CC)C1=CC=C(OC(C)=O)C=C1)C1=CC=C(OC(C)=O)C=C1
4403-61-6	CC=C(C)C#N
7785-33-3	CC=C(C)C(=O)OCC=C(C)CCC=C(C)C
37526-88-8	CC=C(C)C(=O)OCC1=CC=CC=C1
255714-11-5	CC=C(C)C(=O)OCCC(C)CCC=C(C)C
55719-85-2	CC=C(C)C(=O)OCCC1=CC=CC=C1
565-62-8	CC=C(C)C(C)=O
673-84-7	CC=C(C)C=CC=C(C)C
497-03-0	CC=C(C)C=O
474-40-8	CC=C(CCC(C)C1CCC2C3=CCC4C(C)C(O)CCC4(C)C3CCC12C)C(C)C
563-58-6	CC=C(Cl)Cl
39025-23-5	CC=C1C(=O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
39025-24-6	CC=C1C(=O)CC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
102518-79-6	CC=C1C2CC3=NC(=O)C=CC3C1(N)CC(C)=C2
16219-75-3	CC=C1CC2CC1C=C2
23696-85-7	CC=CC(=O)C1=C(C)C=CCC1(C)C
589-66-2	CC=CC(=O)OCC(C)C
3724-65-0	CC=CC(O)=O
110-44-1	CC=CC=CC(O)=O
24634-61-5	CC=CC=CC(O)=O
142-83-6	CC=CC=CC=O
33956-49-9	CC=CC=CCCCCCCCO
17102-64-6	CC=CC=CCO
16491-24-0	CC=CC=CCOC(=O)C(C)C
4170-30-3	CC=CC=O
121123-17-9	CC=CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CC=C(O)C=C1)C2=O)C(O)=O
120-58-1	CC=CC1=CC2=C(OCO2)C=C1
4635-87-4	CC=CCC#N
592-45-0	CC=CCC=C
6842-15-5	CC=CCC=CCC=CCC=C
31654-77-0	CC=CCC=CCCCCCCCCOC(C)=O
7007-96-7	CC=CCN=NC(=O)C1=CC=NC=C1
6117-91-5	CC=CCO
75-07-0	CC=O
3599-32-4	CC1(C)\C(=C/C=C/C=C/C=C/C2=[N+](CCCCS(O)(=O)=O)C3=CC=C4C=CC=CC4=C3C2(C)C)N(CCCCS(O)(=O)=O)C2=CC=C3C=CC=CC3=C12
933-52-8	CC1(C)C(=O)C(C)(C)C1=O
24448-94-0	CC1(C)C(=O)NC(=O)NC1=O
39515-41-8	CC1(C)C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
52918-63-5	CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
76703-62-3	CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
68085-85-8	CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
91465-08-6	CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
68359-37-5	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=C(F)C(OC2=CC=CC=C2)=C1
52315-07-8	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
67375-30-8	CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
118712-89-3	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=C(F)C(F)=CC(F)=C1F
52645-53-1	CC1(C)C(C=C(Cl)Cl)C1C(=O)OCC1=CC(OC2=CC=CC=C2)=CC=C1
58769-20-3	CC1(C)C(C=C2CCSC2=O)C1C(=O)OCC1=COC(CC2=CC=CC=C2)=C1
7421-40-1	CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC(=O)CCC(O)=O
11052-19-0	CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O
1405-86-3	CC1(C)C(CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O)OC1OC(C(O)C(O)C1OC1OC(C(O)C(O)C1O)C(O)=O)C(O)=O
68373-14-8	CC1(C)C(N2C(CC2=O)S1(=O)=O)C(O)=O
3010-96-6	CC1(C)C(O)C(C)(C)C1O
471-53-4	CC1(C)C(O)CCC2(C)C1CCC1(C)C2C(=O)C=C2C3CC(C)(CCC3(C)CCC12C)C(O)=O
18172-67-3	CC1(C)C2CC1C(=C)CC2
127-91-3	CC1(C)C2CC1C(=C)CC2
1195-79-5	CC1(C)C2CCC(C)(C2)C1=O
1632-73-1	CC1(C)C2CCC(C)(C2)C1O
2217-02-9	CC1(C)C2CCC(C)(C2)C1O
5794-04-7	CC1(C)C2CCC(C2)C1=C
79-92-5	CC1(C)C2CCC(C2)C1=C
464-49-3	CC1(C)C2CCC1(C)C(=O)C2
76-22-2	CC1(C)C2CCC1(C)C(=O)C2
464-48-2	CC1(C)C2CCC1(C)C(=O)C2
10373-78-1	CC1(C)C2CCC1(C)C(=O)C2=O
124-76-5	CC1(C)C2CCC1(C)C(O)C2
464-45-9	CC1(C)C2CCC1(C)C(O)C2
29461-14-1	CC1(C)C2CCC3(C2)C1C(=O)CCC3(C)C
826-36-8	CC1(C)CC(=O)CC(C)(C)N1
2896-70-0	CC1(C)CC(=O)CC(C)(C)N1O
52829-07-9	CC1(C)CC(CC(C)(C)N1)OC(=O)CCCCCCCCC(=O)OC1CC(C)(C)NC(C)(C)C1
4098-71-9	CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O
36768-62-4	CC1(C)CC(N)CC(C)(C)N1
2855-13-2	CC1(C)CC(N)CC(C)(CN)C1
2403-88-5	CC1(C)CC(O)CC(C)(C)N1
2226-96-2	CC1(C)CC(O)CC(C)(C)N1O
81129-83-1	CC1(C)CC1C(=O)N=C(CCCCCSCC(N)C(O)=O)C(O)=O
68298-46-4	CC1(C)CC2=C(O1)C(N)=CC=C2
1563-38-8	CC1(C)CC2=C(O1)C(O)=CC=C2
131983-72-7	CC1(C)CCC(=CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1
102121-60-8	CC1(C)CCC(C)(C)C2=C1C=CC(=C2)C(=O)NC1=CC=C(C=C1)C(O)=O
94497-51-5	CC1(C)CCC(C)(C)C2=C1C=CC(NC(=O)C1=CC=C(C=C1)C(O)=O)=C2
163000-63-3	CC1(C)CCC(CC1)NC(=O)C(N)CCC(O)=O
125116-23-6	CC1(C)CCC(CC2=CC=C(Cl)C=C2)C1(O)CN1C=NC=N1
67485-29-4	CC1(C)CNC(NC1)=NN=C(C=CC1=CC=C(C=C1)C(F)(F)F)C=CC1=CC=C(C=C1)C(F)(F)F
160415-07-6	CC1(C)COC(CC(O)=O)CN1
51200-87-4	CC1(C)COCN1
81777-89-1	CC1(C)CON(CC2=C(Cl)C=CC=C2)C1=O
3057-08-7	CC1(C)COP(OC2=CC=CC=C2)OC1
77-48-5	CC1(C)N(Br)C(=O)N(Br)C1=O
16079-88-2	CC1(C)N(Br)C(=O)N(Cl)C1=O
126-06-7	CC1(C)N(Cl)C(=O)N(Br)C1=O
118-52-5	CC1(C)N(Cl)C(=O)N(Cl)C1=O
6440-58-0	CC1(C)N(CO)C(=O)N(CO)C1=O
116-25-6	CC1(C)N(CO)C(=O)NC1=O
152-53-4	CC1(C)N=C(N)N=C(N)N1C1=CC=C(Cl)C=C1
63612-50-0	CC1(C)NC(=O)N(C1=O)C1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F
77-71-4	CC1(C)NC(=O)NC1=O
695-53-4	CC1(C)OC(=O)NC1=O
21440-97-1	CC1(C)OC(=O)NC2=C1C=C(Br)C=C2
94535-50-9	CC1(C)OC2=C(C=C(C=C2)C#N)C(C1O)N1CCCC1=O
18467-77-1	CC1(C)OC2C3OC(C)(C)OCC3OC2(O1)C(O)=O
52508-35-7	CC1(C)OC2C3OC(C)(C)OCC3OC2(O1)C(O)=O
1180-71-8	CC1(C)OC2CC(=O)OCC22C1CC(=O)C1(C)C2CCC2(C)C(OC(=O)C3OC123)C1=COC=C1
67-73-2	CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO
3385-03-3	CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
1524-88-5	CC1(C)OC2CC3C4CC(F)C5=CC(=O)CCC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
76-25-5	CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO
638-94-8	CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO
3093-35-4	CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CCl
97240-79-4	CC1(C)OC2COC3(COS(N)(=O)=O)OC(C)(C)OC3C2O1
144481-98-1	CC1(C)OCC(COC(=O)CCC2=CC=C(OCC(O)CNCCNC(=O)N3CCOCC3)C=C2)O1
828-26-2	CC1(C)SC(C)(C)SC(C)(C)S1
551-16-6	CC1(C)SC2C(N)C(=O)N2C1C(O)=O
32887-01-7	CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(O)=O
5321-32-4	CC1(C)SC2C(N3C(=O)C(NC3(C)C)C3=CC=CC=C3)C(=O)N2C1C(O)=O
35531-88-5	CC1(C)SC2C(NC(=O)C(C(=O)OC3=CC4=C(CCC4)C=C3)C3=CC=CC=C3)C(=O)N2C1C(O)=O
4800-94-6	CC1(C)SC2C(NC(=O)C(C(O)=O)C3=CC=CC=C3)C(=O)N2C1C(O)=O
4697-14-7	CC1(C)SC2C(NC(=O)C(C(O)=O)C3=CSC=C3)C(=O)N2C1C(O)=O
28002-18-8	CC1(C)SC2C(NC(=O)C(C3=CC=CC=C3)S(O)(=O)=O)C(=O)N2C1C(O)=O
26787-78-0	CC1(C)SC2C(NC(=O)C(N)C3=CC=C(O)C=C3)C(=O)N2C1C(O)=O
39878-70-1	CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(=O)OC1OC(=O)C2=C1C=CC=C2
83105-70-8	CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(=O)OCOC(=O)C1N2C(CC2=O)S(=O)(=O)C1(C)C
69-53-4	CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(O)=O
7177-48-2	CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(O)=O
6489-61-8	CC1(C)SC2C(NC(=O)C(N=C)C3=CC=CC=C3)C(=O)N2C1C(O)=O
51481-65-3	CC1(C)SC2C(NC(=O)C(NC(=O)N3CCN(C3=O)S(C)(=O)=O)C3=CC=CC=C3)C(=O)N2C1C(O)=O
37091-65-9	CC1(C)SC2C(NC(=O)C(NC(=O)N3CCNC3=O)C3=CC=CC=C3)C(=O)N2C1C(O)=O
3485-14-1	CC1(C)SC2C(NC(=O)C3(N)CCCCC3)C(=O)N2C1C(O)=O
113-98-4	CC1(C)SC2C(NC(=O)CC3=CC=CC=C3)C(=O)N2C1C(O)=O
132-98-9	CC1(C)SC2C(NC(=O)COC3=CC=CC=C3)C(=O)N2C1C(O)=O
130-37-0	CC1(CC(=O)C2=C(C=CC=C2)C1=O)S(O)(=O)=O
126833-17-8	CC1(CCCCC1)C(=O)NC1=C(Cl)C(Cl)=C(O)C=C1
89785-84-2	CC1(CN2C=CN=N2)C(N2C(CC2=O)S1(=O)=O)C(O)=O
109826-26-8	CC1(CN2CCC(CC2)N2C(=O)NC3=C2C=CC=C3)OCC2=C(C=CC=C2)N2C=CC=C12
5508-58-7	CC1(CO)C(O)CCC2(C)C(CC=C3C(O)COC3=O)C(=C)CCC12
13047-13-7	CC1(CO)CN(NC1=O)C1=CC=CC=C1
74772-77-3	CC1(COC2=CC=C(CC3SC(=O)NC3=O)C=C2)CCCCC1
72-63-9	CC1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3CCC12C
76-43-7	CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC12C
58-18-4	CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
434-07-1	CC1(O)CCC2C3CCC4CC(=O)C(CC4(C)C3CCC12C)C=O
521-11-9	CC1(O)CCC2C3CCC4CC(=O)CCC4(C)C3CCC12C
10418-03-8	CC1(O)CCC2C3CCC4CC5=NNC=C5CC4(C)C3CCC12C
1239-29-8	CC1(O)CCC2C3CCC4CC5=NON=C5CC4(C)C3CCC12C
55704-78-4	CC1(O)CSC(C)(O)CS1
72420-38-3	CC1(OC(=CC1=O)C(O)=O)C1=CC=CC=C1
50471-44-8	CC1(OC(=O)N(C1=O)C1=CC(Cl)=CC(Cl)=C1)C=C
131807-57-3	CC1(OC(=O)N(NC2=CC=CC=C2)C1=O)C1=CC=C(OC2=CC=CC=C2)C=C1
51037-30-0	CC1=[N+]([O-])C=C(N=C1)C(O)=O
23696-28-8	CC1=[N+]([O-])C2=C(C=CC=C2)[N+]([O-])=C1C(=O)NCCO
62625-32-5	CC1=C(Br)C(O)=C(Br)C=C1C(C1=CC=CC=C1S(O)(=O)=O)=C1C=C(Br)C(=O)C(Br)=C1C
95-46-5	CC1=C(Br)C=CC=C1
30319-05-2	CC1=C(Br)C=CS1
81-15-2	CC1=C(C(=C(C(C)=C1[N+]([O-])=O)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O
181695-72-7	CC1=C(C(=NO1)C1=CC=CC=C1)C1=CC=C(C=C1)S(N)(=O)=O
5259-88-1	CC1=C(C(=O)NC2=CC=CC=C2)S(=O)(=O)CCO1
13412-64-1	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1Cl
34214-51-2	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1F
1847-24-1	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1F
1173-88-2	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O)C(=NO1)C1=CC=CC=C1
642-78-4	CC1=C(C(=O)NC2C3SC(C)(C)C(N3C2=O)C(O)=O)C(=NO1)C1=CC=CC=C1Cl
4462-55-9	CC1=C(C(Cl)=O)C(=NO1)C1=C(Cl)C=CC=C1Cl
16883-16-2	CC1=C(C(Cl)=O)C(=NO1)C1=CC=CC=C1
7761-45-7	CC1=C(C(N)=NC(N)=N1)C1=CC(Cl)=C(Cl)C=C1
145-39-1	CC1=C(C)C(=C(C(=C1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O
112665-43-7	CC1=C(C)C(=O)C(C(CCCCCC(O)=O)C2=CC=CC=C2)=C(C)C1=O
80809-81-0	CC1=C(C)C(=O)C(CCCCC#CCCCC#CCO)=C(C)C1=O
28730-17-8	CC1=C(C)C(C(=O)NC2=CC=CC=C2)=C(C)O1
90038-01-0	CC1=C(C)C(CC2=CN=CN2)=CC=C1
61-68-7	CC1=C(C)C(NC2=C(C=CC=C2)C(O)=O)=CC=C1
50892-23-4	CC1=C(C)C(NC2=NC(SCC(O)=O)=NC(Cl)=C2)=CC=C1
526-75-0	CC1=C(C)C(O)=CC=C1
30187-90-7	CC1=C(C)C(OCC(O)CNC(C)(C)C)=CC=C1
81632-85-1	CC1=C(C)C=C(C=C1)C(=O)C(O)=O
5973-71-7	CC1=C(C)C=C(C=O)C=C1
95-65-8	CC1=C(C)C=C(O)C=C1
95-47-6	CC1=C(C)C=CC=C1
55290-64-7	CC1=C(C)S(=O)(=O)CCS1(=O)=O
76-60-8	CC1=C(C=C(Br)C(O)=C1Br)C1(OS(=O)(=O)C2=C1C=CC=C2)C1=C(C)C(Br)=C(O)C(Br)=C1
497-39-2	CC1=C(C=C(C(O)=C1)C(C)(C)C)C(C)(C)C
121-14-2	CC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O
96-98-0	CC1=C(C=C(C=C1)C(O)=O)[N+]([O-])=O
148-01-6	CC1=C(C=C(C=C1C(N)=O)[N+]([O-])=O)[N+]([O-])=O
119-32-4	CC1=C(C=C(N)C=C1)[N+]([O-])=O
116-66-5	CC1=C(C=C2C(=C1[N+]([O-])=O)C(C)(C)CC2(C)C)[N+]([O-])=O
3113-71-1	CC1=C(C=CC(=C1)C(O)=O)[N+]([O-])=O
118-90-1	CC1=C(C=CC=C1)C(O)=O
611-23-4	CC1=C(C=CC=C1)N=O
72-44-6	CC1=C(C=CC=C1)N1C(C)=NC2=CC=CC=C2C1=O
56287-74-2	CC1=C(C=CC=C1)N1C(CF)=NC2=C(C=C(N)C=C2)C1=O
88-19-7	CC1=C(C=CC=C1)S(N)(=O)=O
606-20-2	CC1=C(C=CC=C1[N+]([O-])=O)[N+]([O-])=O
1975-50-4	CC1=C(C=CC=C1C(O)=O)[N+]([O-])=O
83-42-1	CC1=C(C=CC=C1Cl)[N+]([O-])=O
91-08-7	CC1=C(C=CC=C1N=C=O)N=C=O
75706-12-6	CC1=C(C=NO1)C(=O)NC1=CC=C(C=C1)C(F)(F)F
116-26-7	CC1=C(C=O)C(C)(C)CC=C1
432-25-7	CC1=C(C=O)C(C)(C)CCC1
529-20-4	CC1=C(C=O)C=CC=C1
130-17-6	CC1=C(C2=C(C=C1)N=C(S2)C1=CC=C(N)C=C1)S(O)(=O)=O
162706-14-1	CC1=C(C2=C(C=CC=C2)N1CCCCC(O)=O)C1=CN=CC=C1
174185-16-1	CC1=C(C2=C(O1)C(NC(=O)C1=C(Cl)C=CC=C1Cl)=CC=C2)C(C)(C)O
59973-80-7	CC1=C(CC(O)=O)C2=CC(F)=CC=C2C1=CC1=CC=C(C=C1)S(C)(=O)=O
38194-50-2	CC1=C(CC(O)=O)C2=CC(F)=CC=C2C1=CC1=CC=C(C=C1)S(C)=O
472-66-2	CC1=C(CC=O)C(C)(C)CCC1
129300-27-2	CC1=C(CC2CCC3=C(C)C4=CC=CC=C4N3C2=O)NC=N1
129299-90-7	CC1=C(CC2CCC3=C(C)C4=CC=CC=C4N3C2=O)NC=N1
141200-24-0	CC1=C(CCC(=O)C2=CC=C(CC3SC(=O)NC3=O)C=C2)N=C(O1)C1=CC=CC=C1
533-45-9	CC1=C(CCCl)SC=N1
87051-43-2	CC1=C(CCN2CCC(CC2)=C(C2=CC=C(F)C=C2)C2=CC=C(F)C=C2)C(=O)N2C=CSC2=N1
75444-65-4	CC1=C(CCN2CCC(CC2)C(=O)C2=CC=C(F)C=C2)C(=O)N2C=CC=CC2=N1
86487-64-1	CC1=C(CCN2CCC(CC2)C(=O)C2=CC=C(F)C=C2)C(=O)N2CCSC2=N1
106266-06-2	CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1
144598-75-4	CC1=C(CCN2CCC(CC2)C2=NOC3=CC(F)=CC=C23)C(=O)N2CCCC(O)C2=N1
67-03-8	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
532-43-4	CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
137-00-8	CC1=C(CCO)SC=N1
196808-45-4	CC1=C(CCOC2=CC=C(CC(NC3=CC=CC=C3C(=O)C3=CC=CC=C3)C(O)=O)C=C2)N=C(O1)C1=CC=CC=C1
501027-49-2	CC1=C(CCOC2=CC=CC3=C2C=CN3CCC(O)=O)N=C(O1)C1=CC=CC=C1
154-87-0	CC1=C(CCOP(O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N
532-40-1	CC1=C(CCOP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N
6174-86-3	CC1=C(Cl)C(=O)OC2=C1C=CC(O)=C2
321-55-1	CC1=C(Cl)C(=O)OC2=CC(OP(=O)(OCCCl)OCCCl)=CC=C12
64063-37-2	CC1=C(Cl)C(N)=C(Cl)C=C1
88-53-9	CC1=C(Cl)C=C(C(N)=C1)S(O)(=O)=O
88-51-7	CC1=C(Cl)C=C(N)C(=C1)S(O)(=O)=O
95-74-9	CC1=C(Cl)C=C(N)C=C1
59-50-7	CC1=C(Cl)C=CC(O)=C1
95-49-8	CC1=C(Cl)C=CC=C1
118-69-4	CC1=C(Cl)C=CC=C1Cl
13710-19-5	CC1=C(Cl)C=CC=C1NC1=C(C=CC=C1)C(O)=O
76894-77-4	CC1=C(CN2C=CN=C2)C2=C(C=CC=C2)N1CCC(O)=O
23707-33-7	CC1=C(CNC2=C3N=CN(C4OC(CO)C(O)C4O)C3=NC=N2)C=CC=C1
80734-02-7	CC1=C(COC(=O)C2N3C(SC2(C)C)C(NC(=O)C(N)C2=CC=CC=C2)C3=O)OC(=O)O1
109543-76-2	CC1=C(COC(C)(C)C(O)=O)OC(=N1)C1=CC=C(Cl)C=C1
103577-45-3	CC1=C(CS(=O)C2=NC3=CC=CC=C3N2)N=CC=C1OCC(F)(F)F
317318-84-6	CC1=C(CSC2=CC(C)=C(OCC(O)=O)C=C2)SC(=N1)C1=CC=C(C(F)=C1)C(F)(F)F
79538-32-2	CC1=C(F)C(F)=C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)C(F)=C1F
198481-33-3	CC1=C(N(CC2=CC=C(OCCN3CCCCCC3)C=C2)C2=C1C=C(O)C=C2)C1=CC=C(O)C=C1
168273-06-1	CC1=C(N(N=C1C(=O)NN1CCCCC1)C1=CC=C(Cl)C=C1Cl)C1=CC=C(Cl)C=C1
2687-25-4	CC1=C(N)C(N)=CC=C1
2835-97-4	CC1=C(N)C(O)=CC=C1
99-55-8	CC1=C(N)C=C(C=C1)[N+]([O-])=O
19406-86-1	CC1=C(N)C=C(C=C1)C(N)=O
95-80-7	CC1=C(N)C=C(N)C=C1
97-56-3	CC1=C(N)C=CC(=C1)N=NC1=C(C)C=CC=C1
838-88-0	CC1=C(N)C=CC(CC2=CC(C)=C(N)C=C2)=C1
3165-93-3	CC1=C(N)C=CC(Cl)=C1
95-69-2	CC1=C(N)C=CC(Cl)=C1
95-53-4	CC1=C(N)C=CC=C1
636-21-5	CC1=C(N)C=CC=C1
603-83-8	CC1=C(N)C=CC=C1[N+]([O-])=O
54396-44-0	CC1=C(N)C=CC=C1C(F)(F)F
87-60-5	CC1=C(N)C=CC=C1Cl
823-40-5	CC1=C(N)C=CC=C1N
65571-68-8	CC1=C(N=CN1)C1=CC=C(Cl)C=C1
22252-43-3	CC1=C(N2C(SC1)C(N)C2=O)C(O)=O
50370-12-2	CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CC=C(O)C=C1)C2=O)C(O)=O
15686-71-2	CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CC=CC=C1)C2=O)C(O)=O
38821-53-3	CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CCC=CC1)C2=O)C(O)=O
93-69-6	CC1=C(NC(=N)NC(N)=N)C=CC=C1
17737-65-4	CC1=C(NC2=C(C=CC=N2)C(O)=O)C=CC=C1Cl
534-52-1	CC1=C(O)C(=CC(=C1)[N+]([O-])=O)[N+]([O-])=O
83-40-9	CC1=C(O)C(=CC=C1)C(O)=O
700-13-0	CC1=C(O)C(C)=C(C)C(O)=C1
97322-87-7	CC1=C(O)C(C)=C2CCC(C)(COC3=CC=C(CC4SC(=O)NC4=O)C=C3)OC2=C1C
66-72-8	CC1=C(O)C(C=O)=C(CO)C=N1
41468-25-1	CC1=C(O)C(C=O)=C(COP(O)(O)=O)C=N1
