Source,Target,Type,Identity
149311.0,170345.0,Directed,20946200.0
170345.0,149311.0,Directed,520663.0
170345.0,149311.0,Directed,22399954.0
140310.0,98105.0,Directed,21838350.0
98105.0,140310.0,Directed,24166956.0
98105.0,140310.0,Directed,24166956.0
140310.0,98105.0,Directed,21838350.0
172559.0,140310.0,Directed,24174451.0
172559.0,140310.0,Directed,24174452.0
172559.0,140310.0,Directed,24174453.0
172559.0,140310.0,Directed,24174454.0
140310.0,172559.0,Directed,24705046.0
140310.0,172559.0,Directed,24705051.0
140310.0,172559.0,Directed,24705056.0
140310.0,172559.0,Directed,24705061.0
98105.0,140310.0,Directed,24166953.0
98105.0,140310.0,Directed,24166954.0
98105.0,140310.0,Directed,24166955.0
98105.0,140310.0,Directed,24166956.0
140310.0,98105.0,Directed,21838320.0
140310.0,98105.0,Directed,21838330.0
140310.0,98105.0,Directed,21838340.0
140310.0,98105.0,Directed,21838350.0
98105.0,140310.0,Directed,14604127.0
140310.0,98105.0,Directed,21838346.0
140310.0,98105.0,Directed,21838347.0
140310.0,98105.0,Directed,21838348.0
140310.0,98105.0,Directed,21838349.0
140310.0,98105.0,Directed,21838351.0
140310.0,98105.0,Directed,21838352.0
140310.0,98105.0,Directed,21838353.0
140310.0,98105.0,Directed,21838354.0
140310.0,98105.0,Directed,21838355.0
98105.0,140310.0,Directed,24166952.0
98105.0,140310.0,Directed,24166960.0
98105.0,140310.0,Directed,24166964.0
98105.0,140310.0,Directed,24166968.0
98105.0,140310.0,Directed,24166972.0
98105.0,140310.0,Directed,24166976.0
98105.0,140310.0,Directed,24166980.0
98105.0,140310.0,Directed,24166984.0
98105.0,140310.0,Directed,24166988.0
98105.0,140310.0,Directed,24174698.0
98105.0,140310.0,Directed,24166985.0
98105.0,140310.0,Directed,24166986.0
98105.0,140310.0,Directed,24166987.0
98105.0,140310.0,Directed,24174695.0
98105.0,140310.0,Directed,24174696.0
98105.0,140310.0,Directed,24174697.0
140310.0,98105.0,Directed,21838325.0
140310.0,98105.0,Directed,21838335.0
140310.0,98105.0,Directed,21838345.0
98105.0,140310.0,Directed,24166973.0
98105.0,140310.0,Directed,24166974.0
98105.0,140310.0,Directed,24166975.0
140310.0,98105.0,Directed,21838316.0
140310.0,98105.0,Directed,21838326.0
140310.0,98105.0,Directed,21838336.0
98105.0,140310.0,Directed,24166957.0
98105.0,140310.0,Directed,24166958.0
98105.0,140310.0,Directed,24166959.0
140310.0,98105.0,Directed,21838317.0
140310.0,98105.0,Directed,21838327.0
140310.0,98105.0,Directed,21838337.0
98105.0,140310.0,Directed,24166969.0
98105.0,140310.0,Directed,24166970.0
98105.0,140310.0,Directed,24166971.0
140310.0,98105.0,Directed,21838318.0
140310.0,98105.0,Directed,21838328.0
140310.0,98105.0,Directed,21838338.0
