Source,Target,Type,Identity
17723.0,21304.0,Directed,14878901.0
17723.0,21304.0,Directed,14878900.0
17723.0,99253.0,Directed,14878904.0
17723.0,99253.0,Directed,14878903.0
17723.0,188394.0,Directed,14878907.0
17723.0,188394.0,Directed,14878906.0
17723.0,158153.0,Directed,14878911.0
17723.0,158153.0,Directed,14878909.0
17723.0,86308.0,Directed,14878914.0
17723.0,86308.0,Directed,14878913.0
17723.0,21304.0,Directed,14878902.0
17723.0,99253.0,Directed,14878905.0
17723.0,188394.0,Directed,14878908.0
17723.0,158153.0,Directed,14878912.0
17723.0,86308.0,Directed,14878915.0
10251.0,97597.0,Directed,14705085.0
10251.0,97597.0,Directed,14705083.0
10251.0,97597.0,Directed,14705084.0
10251.0,97597.0,Directed,14705086.0
10251.0,97597.0,Directed,14705087.0
10251.0,97597.0,Directed,14705088.0
97597.0,10251.0,Directed,26529277.0
97597.0,10251.0,Directed,26529278.0
97597.0,10251.0,Directed,26529279.0
97597.0,10251.0,Directed,26529280.0
97597.0,10251.0,Directed,26529281.0
97597.0,10251.0,Directed,26529282.0
97597.0,10251.0,Directed,26529283.0
97597.0,10251.0,Directed,26529284.0
10251.0,97597.0,Directed,28235334.0
10251.0,97597.0,Directed,28235338.0
10251.0,97597.0,Directed,28235342.0
10251.0,97597.0,Directed,28235346.0
10251.0,97597.0,Directed,28235350.0
10251.0,97597.0,Directed,28235354.0
10251.0,97597.0,Directed,28235358.0
10251.0,97597.0,Directed,28235362.0
97597.0,10251.0,Directed,26529276.0
10251.0,97597.0,Directed,28235345.0
97597.0,10251.0,Directed,26529268.0
10251.0,97597.0,Directed,28235343.0
97597.0,10251.0,Directed,26529260.0
10251.0,97597.0,Directed,28235344.0
10251.0,202022.0,Directed,14705073.0
10251.0,202022.0,Directed,14705071.0
10251.0,202022.0,Directed,14705072.0
10251.0,202022.0,Directed,14705074.0
10251.0,202022.0,Directed,14705075.0
10251.0,202022.0,Directed,14705076.0
202022.0,10251.0,Directed,26529285.0
202022.0,10251.0,Directed,26529286.0
202022.0,10251.0,Directed,26529287.0
202022.0,10251.0,Directed,26529288.0
202022.0,10251.0,Directed,26529289.0
202022.0,10251.0,Directed,26529290.0
202022.0,10251.0,Directed,26529291.0
202022.0,10251.0,Directed,26529292.0
10251.0,202022.0,Directed,30774679.0
10251.0,202022.0,Directed,30774682.0
10251.0,202022.0,Directed,30774685.0
10251.0,202022.0,Directed,30774688.0
10251.0,202022.0,Directed,30774691.0
10251.0,202022.0,Directed,30774694.0
10251.0,202022.0,Directed,30774697.0
10251.0,202022.0,Directed,30774700.0
202022.0,10251.0,Directed,26529308.0
10251.0,202022.0,Directed,30774690.0
202022.0,10251.0,Directed,26529300.0
10251.0,202022.0,Directed,30774689.0
10251.0,129528.0,Directed,30283216.0
10251.0,129528.0,Directed,15054930.0
129528.0,10251.0,Directed,488966.0
85177.0,10251.0,Directed,448799.0
10251.0,85177.0,Directed,15054935.0
129528.0,10251.0,Directed,20499773.0
10251.0,35849.0,Directed,14705045.0
10251.0,35849.0,Directed,14705048.0
10251.0,35849.0,Directed,14705047.0
10251.0,35849.0,Directed,14705046.0
10251.0,35849.0,Directed,14705044.0
10251.0,35849.0,Directed,14705043.0
35849.0,10251.0,Directed,26528605.0
35849.0,10251.0,Directed,26528606.0
35849.0,10251.0,Directed,26528607.0
35849.0,10251.0,Directed,26528608.0
35849.0,10251.0,Directed,26528609.0
35849.0,10251.0,Directed,26528610.0
35849.0,10251.0,Directed,26528611.0
35849.0,10251.0,Directed,26528612.0
10251.0,35849.0,Directed,18157952.0
10251.0,35849.0,Directed,18157962.0
10251.0,35849.0,Directed,18157972.0
10251.0,35849.0,Directed,18157982.0
10251.0,35849.0,Directed,18157992.0
10251.0,35849.0,Directed,18158002.0
10251.0,35849.0,Directed,18158012.0
10251.0,35849.0,Directed,18158022.0
35849.0,10251.0,Directed,26528636.0
10251.0,35849.0,Directed,18158014.0
35849.0,10251.0,Directed,26528644.0
10251.0,35849.0,Directed,18158013.0
35849.0,10251.0,Directed,26528652.0
10251.0,35849.0,Directed,18158015.0
35849.0,10251.0,Directed,26528620.0
10251.0,35849.0,Directed,18158020.0
35849.0,10251.0,Directed,26528660.0
10251.0,35849.0,Directed,18158018.0
35849.0,10251.0,Directed,26528684.0
10251.0,35849.0,Directed,18158019.0
35849.0,10251.0,Directed,26528668.0
10251.0,35849.0,Directed,18158016.0
35849.0,10251.0,Directed,26528676.0
10251.0,35849.0,Directed,18158017.0
35849.0,10251.0,Directed,26528628.0
10251.0,35849.0,Directed,18158021.0
10251.0,169845.0,Directed,14705039.0
10251.0,169845.0,Directed,14471903.0
10251.0,169845.0,Directed,14471904.0
10251.0,169845.0,Directed,14705040.0
10251.0,169845.0,Directed,14705041.0
