cas,cluster,smiles
129299-90-7,1,Cl.Cc4ncnc4C[C@H]3CCc2c(C)c1ccccc1n2C3=O
NOCAS_48522,1,FC(F)(F)C(=O)O.CCN(CC)C(=O)c1cc(c(cc1N(CC)CCN(C)C)N2CCC(CC2)c3ccccc3)S(=O)(=O)Cc4ccccc4
33414-30-1,1,CN1CCN(CC1)CCC(=O)N2c4ccccc4Sc3ccc(cc23)C(F)(F)F
84-02-6,1,O=C(O)/C=C\C(=O)O.O=C(O)/C=C\C(=O)O.CN1CCN(CC1)CCCN2c4ccccc4Sc3ccc(Cl)cc23
289716-94-5,1,Clc2ccc(Oc1ccc(F)cc1CNC)cc2Cl
303-49-1,1,CN(C)CCCN2c3ccccc3CCc1ccc(Cl)cc12
75859-03-9,1,Cl.Cl.C[C@H]4CN(CCCn3c1ccccc1c2ccccc23)C[C@@H](C)N4
4789-68-8,1,O=C(O)/C=C\C(=O)O.CN1CCN(CC1)C2Cc4ccccc4Sc3ccc(Cl)cc23
29216-28-2,1,c3ccc4Sc5ccccc5N(CC2CN1CCC2CC1)c4c3
549-18-8,1,Cl.CN(C)CC\C=C1\c3ccccc3CCc2ccccc12
742693-38-5,1,FC(F)(F)c3cccc(C(=O)N[C@H]([C@@H]1CCCCN1)c2ccccc2)c3Cl
1553-34-0,1,Cl.CN1CCCC(C1)CC2c4ccccc4Sc3ccccc23
14587-50-9,1,OC(C(C)N(C)CCOC(c1ccccc1)c2ccccc2)c3ccccc3
69-23-8,1,FC(F)(F)c2cc3N(CCCN1CCN(CCO)CC1)c4ccccc4Sc3cc2
58-33-3,1,Cl.CN(C)C(C)CN1c3ccccc3Sc2ccccc12
89419-40-9,1,Clc5ccc6CCc1ccccc1N(CCCN2CCC4(CC2)C(=O)NC3CCCCN34)c6c5
2347-80-0,1,CS(=O)(=O)O.CS(=O)(=O)O.CN(C)S(=O)(=O)c2cc3N(CCCN1CCN(C)CC1)c4ccccc4Sc3cc2
53179-11-6,1,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4
58-39-9,1,OCCN1CCN(CC1)CCCN2c4ccccc4Sc3ccc(Cl)cc23
20229-30-5,1,CN1CCN(CC1)C2Cc4ccccc4Sc3ccc(SC)cc23
54910-89-3,1,FC(F)(F)c2ccc(OC(CCNC)c1ccccc1)cc2
79559-97-0,1,Cl.Clc1ccc(cc1Cl)[C@@H]3CC[C@H](NC)c2ccccc23
55096-75-8,1,Cl.C[C@@H](NC)CC(c1ccccc1)(c2ccccc2)[C@@H](OC(C)=O)CC
