cas,cluster,smiles,inchikey
19774-82-4,2,Cl.CCN(CC)CCOc1c(I)cc(cc1I)C(=O)c2c3ccccc3oc2CCCC,ITPDYQOUSLNIHG-UHFFFAOYSA-N
1951-25-3,2,CCN(CC)CCOc1c(I)cc(cc1I)C(=O)c2c3ccccc3oc2CCCC,IYIKLHRQXLHMJQ-UHFFFAOYSA-N
101477-54-7,2,Cl.Cl.Fc1ccc(cc1)C(c2ccc(F)cc2)N3CCN(CC3)Cc4ccc(OC)c(OC)c4OC,LOGVKVSFYBBUAJ-UHFFFAOYSA-N
NOCAS_45916,2,O=C(O)C(O)C(O)C(=O)O.COc4ccccc4OCCNCC(O)COc2cccc3nc1ccccc1c23,NA
57132-53-3,2,CCCN(CCC)C(=O)C(NC(=O)c1ccccc1)CCC(=O)OCCCN5CCN(CCOC(=O)Cc4c2cc(OC)ccc2n(C(=O)c3ccc(Cl)cc3)c4C)CC5,PTXGHCGBYMQQIG-UHFFFAOYSA-N
171228-49-2,2,C[C@H](O)[C@H](CC)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(cc4)OCC6C[C@@](Cn5cncn5)(OC6)c7ccc(F)cc7F,RAGOYPUPXAKGKH-AGDNISCASA-N
114369-43-6,2,Clc3ccc(CCC(Cn1cncn1)(C#N)c2ccccc2)cc3,RQDJADAKIFFEKQ-UHFFFAOYSA-N
170729-80-3,2,C[C@@H](O[C@H]2OCCN(CC1=NC(=O)N=N1)[C@H]2C3CCC(F)CC3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,RRFQFDMDZFLXRY-GTQYJQEFSA-N
79983-71-4,2,OC(CCCC)(Cn1cncn1)c2ccc(Cl)cc2Cl,STMIIPIFODONDC-UHFFFAOYSA-N
102992-93-8,2,Cl.[O-][N+](=O)c1cccc(c1)C2C(C(=O)OC)=C(C)NC(C)=C2C(=O)OCCCN3CCC(CC3)(c4ccccc4)c5ccccc5,MHOSUIMBPQVOEU-UHFFFAOYSA-N
1032350-13-2,2,NC1(CCC1)c2ccc(cc2)c3nc5C=CN6C(=O)NN=C6c5cc3c4ccccc4,ULDXWLCXEDXJGE-UHFFFAOYSA-N
184475-35-2,2,Fc1ccc(cc1Cl)Nc2ncnc3cc(OC)c(cc23)OCCCN4CCOCC4,XGALLCVXEZPNRQ-UHFFFAOYSA-N
2062-78-4,2,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3c4ccccc4NC3=O)c5ccc(F)cc5,YVUQSNJEYSNKRX-UHFFFAOYSA-N
55985-32-5,2,CC=2NC(C)=C(C(C=2C(=O)OCCN(C)Cc1ccccc1)c3cccc(c3)[N+]([O-])=O)C(=O)OC,ZBBHBTPTTSWHBA-UHFFFAOYSA-N
3416-26-0,2,Cc4cccc(C)c4NC(=O)CN3CCN(CCCC(c1ccc(F)cc1)c2ccc(F)cc2)CC3,ZBIAKUMOEKILTF-UHFFFAOYSA-N
2152-44-5,3,OCC(=O)[C@@]4(OC(=O)CCCC)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,SNHRLVCMMWUAJD-SUYDQAKGSA-N
51333-22-3,3,OCC(=O)[C@@]53O[C@@H](O[C@@H]5C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@H]4[C@@H](O)C[C@@]23C)CCC,VOVIALXJUBGFJZ-VXKMTNQYSA-N
83919-23-7,3,ClCC(=O)[C@@]5(OC(=O)c1ccco1)[C@H](C)C[C@@H]3[C@]5(C)C[C@H](O)[C@]2(Cl)[C@@]4(C)C=CC(=O)C=C4CC[C@H]23,WOFMFGQZHJDGCX-ZULDAHANSA-N
127-31-1,4,OCC(=O)[C@@]4(O)CC[C@@H]2[C@]4(C)C[C@H](O)[C@]1(F)[C@@]3(C)CCC(=O)C=C3CC[C@H]12,AAXVEMMRQDVLJB-BULBTXNYSA-N
1177-87-3,4,CC(=O)OCC(=O)[C@@]4(O)[C@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,AKUJBENLRBOFTD-RPRRAYFGSA-N
50-03-3,4,CC(=O)OCC(=O)[C@@]4(O)CCC3C2CCC1=CC(=O)CC[C@]1(C)C2[C@@H](O)C[C@@]34C,ALEXXDVDDISNDU-KPYZGQEZSA-N
13609-67-1,4,OCC(=O)[C@@]4(OC(=O)CCC)CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3CC[C@H]12,BMCQMVFGOVHVNG-TUFAYURCSA-N
33564-31-7,4,CC(=O)OCC(=O)[C@@]4(OC(C)=O)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,BOBLHFUVNSFZPJ-JOYXJVLSSA-N
25122-46-7,4,ClCC(=O)[C@@]4(OC(=O)CC)[C@@H](C)C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3CCC1=CC(=O)C=C[C@@]12C,CBGUOGMQLZIXBE-XGQKBEPLSA-N
82034-46-6,4,O=C(OCCl)[C@@]4(OC(=O)OCC)CC[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C,DMKSVUSAATWOCU-HROMYWEYSA-N
426-13-1,4,CC(=O)[C@@]4(O)CC[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](C)C1=CC(=O)C=C[C@@]12C,FAOZLTXFLGPHNG-KNAQIMQKSA-N
14484-47-0,4,CC(=O)OCC(=O)[C@@]54N=C(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C,FBHSPRKOSMHSIF-GRMWVWQJSA-N
25122-57-0,4,ClCC(=O)[C@@]3(OC(=O)CCC)[C@@H](C)C[C@H]2[C@@H]4CCC1=CC(=O)C=C[C@]1(C)[C@@]4(F)C(=O)C[C@@]23C,FBRAWBYQGRLCEK-AVVSTMBFSA-N
67-73-2,4,OCC(=O)[C@]45OC(C)(C)O[C@@H]5C[C@@H]3[C@]4(C)C[C@H](O)[C@@]2(F)[C@H]3C[C@H](F)C1=CC(=O)C=C[C@@]12C,FEBLZLNTKCEFIT-VSXGLTOVSA-N
520-85-4,4,CC(=O)[C@@]3(O)CC[C@H]2[C@@H]4C[C@H](C)C1=CC(=O)CC[C@]1(C)[C@H]4CC[C@@]23C,FRQMUZJSZHZSGN-HBNHAYAOSA-N
57524-89-7,4,OCC(=O)[C@@]4(OC(=O)CCCC)CC[C@@H]2[C@]4(C)C[C@H](O)[C@@H]1[C@@]3(C)CCC(=O)C=C3CC[C@H]12,FZCHYNWYXKICIO-FZNHGJLXSA-N
