cas,cluster,smiles,inchikey
426-13-1,4,CC1CC2C3CCC(O)(C(C)=O)C3(C)CC(O)C2(F)C2(C)C=CC(=O)C=C12,FAOZLTXFLGPHNG-UHFFFAOYSA-N
14484-47-0,4,CC(=O)OCC(=O)C12N=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,FBHSPRKOSMHSIF-UHFFFAOYSA-N
25122-57-0,4,CCCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(=O)CC12C)C(=O)CCl,FBRAWBYQGRLCEK-UHFFFAOYSA-N
67-73-2,4,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,FEBLZLNTKCEFIT-UHFFFAOYSA-N
520-85-4,4,CC1CC2C3CCC(O)(C(C)=O)C3(C)CCC2C2(C)CCC(=O)C=C12,FRQMUZJSZHZSGN-UHFFFAOYSA-N
57524-89-7,4,CCCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)CO,FZCHYNWYXKICIO-UHFFFAOYSA-N
124-94-7,4,CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,GFNANZIMVAIWHM-UHFFFAOYSA-N
1310709-74-0,4,CC1CC2C3CC(F)C4=CC(=O)C(Cl)=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,GGXMRPUKBWXVHE-UHFFFAOYSA-N
2668-66-8,4,CC1CC2C3CCC(C(C)=O)C3(C)CC(O)C2C2(C)CCC(=O)C=C12,GZENKSODFLBBHQ-UHFFFAOYSA-N
59198-70-8,4,CCCCC(=O)OCC(=O)C1C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,HHJIUUAMYGBVSD-UHFFFAOYSA-N
49697-38-3,4,COC(=O)C1(C)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,HJPMTDNGLRNDJA-UHFFFAOYSA-N
50-23-7,4,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,JYGXADMDTFJGBT-UHFFFAOYSA-N
52-21-1,4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,LRJOMUJRLNCICJ-UHFFFAOYSA-N
3093-35-4,4,CC1(C)OC2CC3C4CCC5=CC(=O)CCC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CCl,MUQNGPZZQDCDFT-UHFFFAOYSA-N
53-34-9,4,CC12CC(O)C3C(CC(F)C4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,MYYIMZRZXIQBGI-UHFFFAOYSA-N
4419-39-0,4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(Cl)C(O)CC2(C)C1(O)C(=O)CO,NBMKJKDGKREAPL-UHFFFAOYSA-N
50-24-8,4,CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CCC2(O)C(=O)CO,OIGNJSKKLXVSLS-UHFFFAOYSA-N
50-22-6,4,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2C(=O)CO,OMFXVFTZEKFJBZ-UHFFFAOYSA-N
1524-88-5,4,CC1(C)OC2CC3C4CC(F)C5=CC(=O)CCC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,POPFMWWJOGLOIF-UHFFFAOYSA-N
71-58-9,4,CC1CC2C3CCC(OC(C)=O)(C(C)=O)C3(C)CCC2C2(C)CCC(=O)C=C12,PSGAAPLEWMOORI-UHFFFAOYSA-N
33755-46-3,4,CCCCC(=O)OC1(C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)C(=O)CO,SNHRLVCMMWUAJD-UHFFFAOYSA-N
2919-66-6,4,CC(=O)OC1(C(C)=O)C(=C)CC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C,UDKABVSQKJNZBH-UHFFFAOYSA-N
378-44-9,4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,UREBDLICKHMUKA-UHFFFAOYSA-N
83-43-2,4,CC1CC2C3CCC(O)(C(=O)CO)C3(C)CC(O)C2C2(C)C=CC(=O)C=C12,VHRSUDSXCMQTMA-UHFFFAOYSA-N
125-04-2,4,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)COC(=O)CCC(O)=O,VWQWXZAWFPZJDA-UHFFFAOYSA-N
382-67-2,4,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1C(=O)CO,VWVSBHGCDBMOOT-UHFFFAOYSA-N
638-94-8,4,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,WBGKWQHBNHJJPZ-UHFFFAOYSA-N
356-12-7,4,CC(=O)OCC(=O)C12OC(C)(C)OC1CC1C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,WJOHZNCJWYWUJD-UHFFFAOYSA-N
2135-17-3,4,CC1CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO,WXURHACBFYSXBI-UHFFFAOYSA-N
3385-03-3,4,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(O1)C(=O)CO,XSFJVAJPIHIPKU-UHFFFAOYSA-N
76-25-5,4,CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,YNDXUCZADRHECN-UHFFFAOYSA-N
338-98-7,4,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,ZOCUOMKMBMEYQV-UHFFFAOYSA-N
2349-07-7,5,CCCCCCOC(=O)C(C)C,CYHBDKTZDLSRMY-UHFFFAOYSA-N
72590-77-3,5,CCCC(=O)OC1(CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C)C(=O)COC(=O)CC,FOGXJPFPZOHSQS-UHFFFAOYSA-N
76-90-4,5,C[N+]1(C)CCCC(C1)OC(=O)C(O)(C1=CC=CC=C1)C1=CC=CC=C1,GKNPSSNBBWDAGH-UHFFFAOYSA-N
2011-67-8,5,CN1C2=CC=C(C=C2C(=NCC1=O)C1=CC=CC=C1)[N+]([O-])=O,GWUSZQUVEVMBPI-UHFFFAOYSA-N
115256-11-6,5,CN(CCOC1=CC=C(NS(C)(=O)=O)C=C1)CCC1=CC=C(NS(C)(=O)=O)C=C1,IXTMWRCNAAVVAI-UHFFFAOYSA-N
1180-71-8,5,CC1(C)OC2CC(=O)OCC22C1CC(=O)C1(C)C2CCC2(C)C(OC(=O)C3OC123)C1=COC=C1,KBDSLGBFQAGHBE-UHFFFAOYSA-N
99464-64-9,5,CCOC(=O)OC(C)OC1=C(N(C)S(=O)(=O)C2=CC=CC=C12)C(=O)NC1=NC=CC=C1,LSNWBKACGXCGAJ-UHFFFAOYSA-N
544-62-7,5,CCCCCCCCCCCCCCCCCCOCC(O)CO,OGBUMNBNEWYMNJ-UHFFFAOYSA-N
13380-94-4,5,O=C1CC2CC1C1CCCC21,OMIDXVJKZCPKEI-UHFFFAOYSA-N
30748-29-9,5,CC(C)=CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,RBBWCVQDXDFISW-UHFFFAOYSA-N
1642-54-2,5,CCN(CC)C(=O)N1CCN(C)CC1,RCKMWOKWVGPNJF-UHFFFAOYSA-N
55837-27-9,5,NS(=O)(=O)C1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)N1CCCC1,UJEWTUDSLQGTOA-UHFFFAOYSA-N
26040-51-7,5,CCCCC(CC)COC(=O)C1=C(Br)C(Br)=C(Br)C(Br)=C1C(=O)OCC(CC)CCCC,UUEDINPOVKWVAZ-UHFFFAOYSA-N
88678-31-3,5,COC1=CC=CC(=N1)N(C)C(=S)OC1=CC2=C(CCCC2)C=C1,VPHPQNGOVQYUMG-UHFFFAOYSA-N
151-73-5,5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(O)(O)=O,VQODGRNSFPNSQE-UHFFFAOYSA-N
2392-39-4,5,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)COP(O)(O)=O,VQODGRNSFPNSQE-UHFFFAOYSA-N
2305-05-7,5,CCCCCCCCC1CCC(=O)O1,WGPCZPLRVAWXPW-UHFFFAOYSA-N
67-78-7,5,CC(=O)OCC(=O)C1(O)C(CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)OC(C)=O,XGMPVBXKDAHORN-UHFFFAOYSA-N
60166-93-0,5,CC(O)C(=O)NC1=C(I)C(C(=O)NC(CO)CO)=C(I)C(C(=O)NC(CO)CO)=C1I,XQZXYNRDCRIARQ-UHFFFAOYSA-N
1115-70-4,5,CN(C)C(=N)NC(N)=N,XZWYZXLIPXDOLR-UHFFFAOYSA-N
82626-48-0,5,CN(C)C(=O)CC1=C(N=C2C=CC(C)=CN12)C1=CC=C(C)C=C1,ZAFYATHCZYHLPB-UHFFFAOYSA-N
562-49-2,6,CCC(C)(C)CC,AEXMKKGTQYQZCS-UHFFFAOYSA-N
64063-37-2,6,CC1=C(Cl)C(N)=C(Cl)C=C1,AYVZXDFCFQSWJD-UHFFFAOYSA-N
111-26-2,6,CCCCCCN,BMVXCPBXGZKUPN-UHFFFAOYSA-N
1633-05-2,6,OC(O)=O,BVKZGUZCCUSVTD-UHFFFAOYSA-N
110-43-0,6,CCCCCC(C)=O,CATSNJVOTSVZJV-UHFFFAOYSA-N
143-22-6,6,CCCCOCCOCCOCCO,COBPKKZHLDDMTB-UHFFFAOYSA-N
5632-47-3,6,O=NN1CCNCC1,CVTIZMOISGMZRJ-UHFFFAOYSA-N
5459-58-5,6,CCCCOC(=O)CC#N,DJACTCNGCHPGOI-UHFFFAOYSA-N
544-92-3,6,C#N,LELOWRISYMNNSU-UHFFFAOYSA-N
72269-48-8,6,CCCCCCCCC=CCCCOC(C)=O,DUCVQKMNGSZPAV-UHFFFAOYSA-N
6673-35-4,6,CC(C)NCC(O)COC1=CC=C(NC(C)=O)C=C1,DURULFYMVIFBIR-UHFFFAOYSA-N
2497-21-4,6,CCC(=O)C=CC,FEWIGMWODIRUJM-UHFFFAOYSA-N
122-60-1,6,C(OC1=CC=CC=C1)C1CO1,FQYUMYWMJTYZTK-UHFFFAOYSA-N
3710-84-7,6,CCN(O)CC,FVCOIAYSJZGECG-UHFFFAOYSA-N
7785-70-8,6,CC1=CCC2CC1C2(C)C,GRWFGVWFFZKLTI-UHFFFAOYSA-N
3179-47-3,6,CCCCCCCCCCOC(=O)C(C)=C,GTBGXKPAKVYEKJ-UHFFFAOYSA-N
840-65-3,6,COC(=O)C1=CC2=C(C=C1)C=C(C=C2)C(=O)OC,GYUVMLBYMPKZAZ-UHFFFAOYSA-N
1975-78-6,6,CCCCCCCCCC#N,HBZDPWBWBJMYRY-UHFFFAOYSA-N
67-66-3,6,ClC(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N
10016-20-3,6,[H]C12OC(CO)C([H])(OC3([H])OC(CO)C([H])(OC4([H])OC(CO)C([H])(OC5([H])OC(CO)C([H])(OC6([H])OC(CO)C([H])(OC7([H])OC(CO)C([H])(O1)C(O)C7O)C(O)C6O)C(O)C5O)C(O)C4O)C(O)C3O)C(O)C2O,HFHDHCJBZVLPGP-UHFFFAOYSA-N
109-89-7,6,CCNCC,HPNMFZURTQLUMO-UHFFFAOYSA-N
122-70-3,6,CCC(=O)OCCC1=CC=CC=C1,HVGZQCSMLUDISR-UHFFFAOYSA-N
578-46-1,6,CC1=CC=C(C(N)=C1)[N+]([O-])=O,IGDYNWKWXUCIJB-UHFFFAOYSA-N
509-60-4,6,[H]C12CC3=C4C(OC5C(O)CCC1C45CCN2C)=C(O)C=C3,IJVCSMSMFSCRME-UHFFFAOYSA-N
626-56-2,6,CC1CCCNC1,JEGMWWXJUXDNJN-UHFFFAOYSA-N
2338-76-3,6,FC(F)(F)C1=CC(CC#N)=CC=C1,JOIYKSLWXLFGGR-UHFFFAOYSA-N
156-59-2,6,ClC=CCl,KFUSEUYYWQURPO-UHFFFAOYSA-N
67-63-0,6,CC(C)O,KFZMGEQAYNKOFK-UHFFFAOYSA-N
20224-45-7,6,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,KQPKPCNLIDLUMF-UHFFFAOYSA-N
111-66-0,6,CCCCCCC=C,KWKAKUADMBZCLK-UHFFFAOYSA-N
56-89-3,6,NC(CSSCC(N)C(O)=O)C(O)=O,LEVWYRKDKASIDU-UHFFFAOYSA-N
352-93-2,6,CCSCC,LJSQFQKUNVCTIA-UHFFFAOYSA-N
139-66-2,6,S(C1=CC=CC=C1)C1=CC=CC=C1,LTYMSROWYAPPGB-UHFFFAOYSA-N
137-06-4,6,CC1=CC=CC=C1S,LXUNZSDDXMPKLP-UHFFFAOYSA-N
4300-97-4,6,CC(C)(CCl)C(Cl)=O,MQZNDDUMJVSIMH-UHFFFAOYSA-N
563-72-4,6,OC(=O)C(O)=O,MUBZPKHOEPUJKR-UHFFFAOYSA-N
23432-62-4,6,COC(=O)NCCC[Si](OC)(OC)OC,MVCSJYRFFFDKCX-UHFFFAOYSA-N
121057-90-7,6,CC[N+]1(C)CCCC1,NIHOUJYFWMURBG-UHFFFAOYSA-N
35935-34-3,6,CCN1C=C[N+](C)=C1,NJMWOUFKYKNWDW-UHFFFAOYSA-N
4130-08-9,6,CC(=O)O[Si](OC(C)=O)(OC(C)=O)C=C,NOZAQBYNLKNDRT-UHFFFAOYSA-N
4016-14-2,6,CC(C)OCC1CO1,NWLUZGJDEZBBRH-UHFFFAOYSA-N
333-27-7,6,COS(=O)(=O)C(F)(F)F,OIRDBPQYVWXNSJ-UHFFFAOYSA-N
15706-73-7,6,CCCCOC(=O)C(C)CC,OTKQNSSMCDLVQV-UHFFFAOYSA-N
60-56-0,6,CN1CC=NC1=S,IVAWMVACECMAGC-UHFFFAOYSA-N
18694-40-1,6,COC1=CC(C)=NN1C1=NC(OC)=CC(C)=N1,RHAXSHUQNIEUEY-UHFFFAOYSA-N
58-15-1,6,CN(C)C1=C(C)N(C)N(C1=O)C1=CC=CC=C1,RMMXTBMQSGEXHJ-UHFFFAOYSA-N
625-55-8,6,CC(C)OC=O,RMOUBSOVHSONPZ-UHFFFAOYSA-N
98-82-8,6,CC(C)C1=CC=CC=C1,RWGFKTVRMDUZSP-UHFFFAOYSA-N
765-15-1,6,CCCCCCCCCCCCSC#N,RYZZMYXTNUJGMU-UHFFFAOYSA-N
938-73-8,6,CCOC1=C(C=CC=C1)C(N)=O,SBNKFTQSBPKMBZ-UHFFFAOYSA-N
4536-30-5,6,CCCCCCCCCCCCOCCO,SFNALCNOMXIBKG-UHFFFAOYSA-N
64057-70-1,6,CNC(C)CC1=CC2=C(OCO2)C=C1,SHXWCVYOXRDMCX-UHFFFAOYSA-N
178600-17-4,6,OC(CNCCOC1=CC=C(CC(O)=O)C=C1)C1=CC=CC=C1,SRBPKVWITYPHQR-UHFFFAOYSA-N
22915-73-7,6,O=C(OCCCCCCOC(=O)C1=CC=CC=C1)C1=CC=CC=C1,TYTTZVDFWCBYPG-UHFFFAOYSA-N
123-35-3,6,CC(C)=CCCC(=C)C=C,UAHWPYUMFXYFJY-UHFFFAOYSA-N
64808-48-6,6,OC(=O)C1=CC=CC=C1NC1=C(C=CC(Cl)=C1)C(O)=O,UGDPYGKWIHHBMB-UHFFFAOYSA-N
5138-18-1,6,OC(=O)CC(C(O)=O)S(O)(=O)=O,ULUAUXLGCMPNKK-UHFFFAOYSA-N
100-64-1,6,O=NC1CCCCC1,AFLQDEOAJRGCOW-UHFFFAOYSA-N
2554-06-5,6,C[Si]1(O[Si](C)(O[Si](C)(O[Si](C)(O1)C=C)C=C)C=C)C=C,VMAWODUEPLAHOE-UHFFFAOYSA-N
487-93-4,6,CN(C)CCC1=CNC2=C1C=C(O)C=C2,VTTONGPRPXSUTJ-UHFFFAOYSA-N
591-17-3,6,CC1=CC=CC(Br)=C1,WJIFKOVZNJTSGO-UHFFFAOYSA-N
2420-87-3,6,O=C1OC(=O)C2=C1C=CC(=C2)C1=CC2=C(C=C1)C(=O)OC2=O,WKDNYTOXBCRNPV-UHFFFAOYSA-N
118-56-9,6,CC1CC(CC(C)(C)C1)OC(=O)C1=C(O)C=CC=C1,WSSJONWNBBTCMG-UHFFFAOYSA-N
137-40-6,6,CCC(O)=O,XBDQKXXYIPTUBI-UHFFFAOYSA-N
67874-72-0,6,CCC(C)(C)C1CCCCC1OC(C)=O,YEVACTAGDANHRH-UHFFFAOYSA-N
98-53-3,6,CC(C)(C)C1CCC(=O)CC1,YKFKEYKJGVSEIX-UHFFFAOYSA-N
7007-96-7,6,CC=CCN=NC(=O)C1=CC=NC=C1,OPDMWUYBTUHESO-UHFFFAOYSA-N
