Id,Label,timeset,Degree,closnesscentrality,betweenesscentrality,pageranks,eigencentrality
17313.0,,,18,0.482759,0,0.044,0
186831.0,,,3,0,0,0.047148,0.00024
129325.0,,,3,0,0,0.047148,0.00024
186298.0,,,3,0,0,0.047148,0.00024
132377.0,,,88,0.529412,8,0.04741,0.352916
86489.0,,,3,0,0,0.047148,0.00024
105380.0,,,6,0,0,0.04741,0.024287
6389.0,,,408,1,37,0.047131,1
79266.0,,,3,0,0,0.044262,0.024046
166466.0,,,34,0.375,0,0.044723,0.13597
98626.0,,,245,0.5625,8,0.04804,0.874824
160471.0,,,3,0,0,0.044262,0.024046
208166.0,,,91,0.529412,0,0.044262,0.376722
132169.0,,,3,0,0,0.044262,0.024046
131756.0,,,3,0,0,0.044262,0.024046
