"cas","cluster"
"59277-89-3",8
"143-23-7",8
"138472-01-2",8
"1443-44-3",8
"10022-31-8",8
"106017-08-7",8
"116714-46-6",8
"63659-18-7",8
"1248-42-6",8
"125-86-0",8
"972-02-1",8
"97-39-2",8
"2897-60-1",8
"15318-45-3",8
"94-23-5",8
"35035-05-3",8
"75-97-8",8
"118134-30-8",8
"74341-78-9",8
"143-16-8",8
"112398-08-0",8
"23651-95-8",8
"21216-78-4",8
"55-48-1",8
"357-57-3",8
"116287-13-9",8
"2425-79-8",8
"15646-46-5",8
"65505-17-1",8
"6164-98-3",8
"6640-24-0",8
"10361-37-2",8
"103-76-4",8
"108929-04-0",8
"77145-61-0",8
"2353-33-5",8
"1421-65-4",8
"69056-62-8",8
"127-85-5",8
"10326-27-9",8
"54-42-2",8
"124-43-6",8
"616202-92-7",8
"747-36-4",8
"16506-27-7",8
"24602-86-6",8
"2386-87-0",8
"1541-81-7",8
"2605-79-0",8
"4630-95-9",8
"35891-70-4",8
"76150-91-9",9
"17700-09-3",9
"91-58-7",9
"13708-12-8",9
"83-32-9",9
"79-78-7",9
"598-77-6",9
"20098-48-0",9
"208-96-8",9
"98-01-1",9
"50924-49-7",9
"1632-73-1",9
"101-55-3",9
"90-17-5",9
"2040-10-0",9
"127-51-5",9
"117332-93-1",9
"1120-01-0",9
"778-22-3",9
"139-96-8",9
"6707-60-4",9
"6149-03-7",9
"634-93-5",9
"89-72-5",9
"128-37-0",9
"8008-45-5",9
"NOCAS_49471",9
"2078-54-8",9
"502-72-7",9
"110-46-3",9
"112-90-3",9
"103-29-7",9
"145701-23-1",9
"57-14-7",9
"203-64-5",9
"84485-00-7",9
"2113-57-7",9
"94280-72-5",9
"69045-78-9",9
"7779-30-8",9
"88-18-6",9
"111-16-0",9
"8000-41-7",9
"51934-41-9",9
"106-29-6",9
"99-71-8",9
"120011-70-3",10
"114-80-7",10
"124756-23-6",10
"1646-87-3",10
"118909-22-1",10
"13932-13-3",10
"7447-39-4",10
"7681-65-4",10
"1074-12-0",10
"115-79-7",10
"7647-10-1",10
"101-26-8",10
"35575-96-3",10
"116-38-1",10
"149062-75-9",10
"133005-40-0",10
"321-64-2",10
"1684-40-8",10
"118499-70-0",10
"27848-84-6",10
"13820-41-2",10
"102518-79-6",10
"943-41-9",11
"122-52-1",11
"50700-72-6",11
"26576-84-1",11
"286453-46-1",11
"112400-85-8",11
"NOCAS_49388",11
"NOCAS_49389",11
"13311-31-4",11
"344774-05-6",11
"2882-19-1",11
"6211-15-0",11
"671-16-9",11
"34681-23-7",11
"119-27-7",11
"26576-85-2",11
"125652-55-3",11
"845835-03-2",11
"258273-67-5",11
"597581-48-1",11
"135-09-1",11
"41814-78-2",11
"191217-81-9",11
"104632-26-0",11
"99617-34-2",11
"554-92-7",11
"1084-65-7",11
"85798-08-9",11
"25167-70-8",11
"4093-35-0",11
"6674-22-2",11
"73-48-3",11
"111988-49-9",11
"156137-99-4",11
"478149-53-0",11
"298-06-6",11
"335104-84-2",11
"4659-45-4",11
"59263-76-2",11
"118288-08-7",11
"361-37-5",11
"5868-05-3",11
"527680-56-4",11
"202409-33-4",11
"541-22-0",11
"350493-08-2",11
"117947-85-0",11
"32353-64-3",11
"343952-33-0",11
"1393-63-1",11
"26155-31-7",11
"10563-29-8",11
"152-02-3",11
"79-77-6",11
"14901-07-6",11
"122892-31-3",11
"142-72-3",11
"1124-64-7",11
"186088-50-6",11
"874-80-6",11
"390423-43-5",11
"121-14-2",11
"55750-06-6",11
"629-03-8",11
"76963-41-2",11
"56839-43-1",11
"28940-11-6",11
"364-62-5",11
"79-00-5",11
"1497-49-0",11
"113-42-8",11
"66357-35-5",11
"964-52-3",11
"504-88-1",11
"135410-20-7",11
"50-63-5",11
"139-40-2",11
"81403-68-1",11
"171596-29-5",11
"104-32-5",11
"123040-69-7",11
"81-83-4",11
"103922-33-4",11
"123-77-3",11
"2016-88-8",11
"2609-46-3",11
"53219-21-9",11
"98892-75-2",11
"227617-70-1",11
"108203-70-9",11
"402846-78-0",11
"475575-45-2",11
"765910-73-4",11
"66104-23-2",11
"589-15-1",11
"33401-94-4",11
"44992-01-0",12
"6577-41-9",12
"63-75-2",12
"52-49-3",12
"112-12-9",12
"401788-99-6",12
"62-51-1",12
"4752-10-7",12
"60-31-1",12
"102-06-7",12
"51-83-2",12
"122320-73-4",12
"123122-55-4",12
"17321-77-6",13
"60812-23-9",13
"106516-24-9",13
"116666-63-8",13
"291305-06-1",13
"50-52-2",13
"169293-50-9",13
"361343-19-3",13
"53772-82-0",13
"1541-67-9",13
"13636-18-5",13
"10347-81-6",13
"78-41-1",13
"51773-92-3",13
"440-17-5",13
"69-09-0",13
"81-88-9",14
"35691-65-7",14
"1062243-51-9",14
"55-56-1",14
"911-45-5",14
"50679-08-8",14
"553-08-2",14
"90729-43-4",14
"1841-19-6",14
"112-02-7",14
"198481-33-3",14
"64706-54-3",14
"147228-81-7",14
"341031-54-7",14
"515-03-7",14
"NOCAS_47342",14
"1565-94-2",15
"26027-38-3",15
"119446-68-3",15
"973-21-7",15
"133-07-3",15
"92-55-7",15
"81995-09-7",15
"905-97-5",15
"4638-48-6",15
"105624-86-0",15
"133-06-2",15
"475207-59-1",15
"159989-65-8",15
"3055-99-0",15
"101-72-4",15
"131807-57-3",15
"131-89-5",15
"93-05-0",15
"125225-28-7",15
"54029-45-7",15
"149845-06-7",15
"84878-61-5",15
"156052-68-5",15
"135080-03-4",15
"112-00-5",15
"1119-94-4",15
"55406-53-6",15
"54527-84-3",15
"485-31-4",15
"2312-35-8",15
"119168-77-3",15
"17230-88-5",16
"302-22-7",16
"1239-29-8",16
"57-83-0",16
"595-33-5",16
"427-51-0",16
"850-52-2",16
"63-05-8",17
"107868-30-4",17
"87-82-1",17
"68-96-2",17
"33765-68-3",17
"152-62-5",17
"13647-35-3",17
"33342-05-1",17
"67392-87-4",17
"53-06-5",17
"91296-86-5",17
"NOCAS_49498",17
"NOCAS_49499",17
"NOCAS_49500",17
"NOCAS_49504",17
"NOCAS_49505",17
"NOCAS_49552",17
"NOCAS_49556",17
"NOCAS_49557",17
"566-48-3",17
"1247-42-3",17
"976-71-6",17
"56-47-3",17
"152-58-9",17
"53-03-2",17
"76-43-7",17
"864283-48-7",17
"64-85-7",17
"503-30-0",18
"33996-33-7",18
"88069-67-4",18
"201677-61-4",18
"22457-89-2",18
"32887-01-7",18
"141-32-2",18
"51-36-5",18
"75-69-4",18
"106463-17-6",18
"102-01-2",18
"110871-86-8",18
"646-14-0",18
"298-46-4",18
"75-27-4",18
"11042-64-1",18
"57018-52-7",18
"78-42-2",18
"142-82-5",18
"15826-37-6",18
"50-04-4",18
"2495-25-2",18
"592-41-6",18
"108-65-6",18
"15707-23-0",18
"1405-86-3",18
"533-31-3",18
"23182-46-9",18
"872-90-2",18
"2610-86-8",18
"123447-62-1",18
"50-45-3",18
"113617-63-3",18
"96-13-9",18
"634-90-2",18
"120-57-0",18
"67-72-1",18
"101-39-3",18
"595-37-9",18
"547-44-4",18
"638-29-9",18
"71320-77-9",18
"110-02-1",18
"79-29-8",18
"118-90-1",18
"3012-37-1",19
"604-75-1",19
"623-17-6",19
"93-91-4",19
"26172-55-4",19
"7085-85-0",19
"99-04-7",19
"105-60-2",19
"76-06-2",19
"105628-07-7",19
"132907-72-3",19
"628-63-7",19
"67-43-6",19
"366-18-7",19
"136-30-1",19
"108-68-9",19
"120-61-6",19
"624-92-0",19
"1508-76-5",19
"57-13-6",19
"NOCAS_47385",19
"3759-92-0",19
"230954-09-3",19
"541-73-1",19
"97612-24-3",20
"318-98-9",20
"5051-22-9",20
"127308-98-9",20
"137160-11-3",20
"7558-73-8",20
"19982-08-2",20
"98769-84-7",20
"77-23-6",20
"132-69-4",20
"135729-62-3",20
"3563-01-7",20
"54143-55-4",20
"125-52-0",20
"3598-37-6",20
"50505-92-5",20
"60719-82-6",20
"125-79-1",20
"50505-91-4",20
"19216-56-9",20
"207572-66-5",20
"50-42-0",20
"2058-52-8",20
"3735-85-1",20
"81409-90-7",20
"33414-36-7",20
"NOCAS_48509",20
"129-77-1",20
"31386-24-0",20
"6119-47-7",20
"968-61-6",20
"2439-07-8",20
"83905-01-5",20
"50-60-2",20
"98774-23-3",20
"87151-85-7",20
"67121-76-0",20
"1229-29-4",20
"56-18-8",20
"132-18-3",20
"61129-30-4",20
"21221-18-1",20
"143322-58-1",20
"53757-34-9",20
"15930-66-2",20
"4272-74-6",20
"2508-72-7",20
"1934-71-0",20
"511-45-5",20
"54-30-8",20
"17617-23-1",20
"113-92-8",20
"134-36-1",20
"37561-27-6",20
"59-58-5",20
"443913-73-3",20
"5486-77-1",20
"23210-56-2",20
"127625-29-0",20
"54533-86-7",20
"5786-68-5",20
"132810-10-7",20
"264618-44-2",20
"24526-64-5",20
"29705-96-2",20
"909-39-7",20
"1235-82-1",20
"34580-13-7",20
"2391-03-9",20
"24916-51-6",20
"68-88-2",20
"49864-70-2",20
"207801-27-2",21
"596-51-0",21
"198904-31-3",21
"5987-82-6",21
"668-94-0",21
"556-52-5",21
"154-93-8",21
"145-63-1",21
"502-54-5",21
"3033-62-3",21
"544-31-0",21
"72-14-0",21
"92623-83-1",21
"115-02-6",21
"31501-11-8",21
"2627-69-2",21
"87-25-2",21
"30103-44-7",21
"1459-93-4",21
"118409-57-7",21
"930-55-2",21
"512-56-1",21
"70356-09-1",21
"14952-06-8",21
"77337-73-6",22
"839-90-7",22
"35891-93-1",22
"3165-93-3",22
"1553-60-2",22
"68515-75-3",22
"67952-65-2",22
"78-37-5",22
"110-12-3",22
"143-27-1",22
"103-85-5",22
"829-74-3",22
"615-28-1",22
"181274-17-9",22
"133099-07-7",22
"280-57-9",22
"26472-00-4",22
"92-68-2",22
"60-00-4",22
"16423-68-0",22
"982-57-0",22
"109-29-5",22
"5407-98-7",22
"88-96-0",22
"110-41-8",22
"6484-52-2",22
"15905-32-5",22
"6961-46-2",22
"15639-50-6",22
"6804-07-5",22
"127-25-3",22
"65473-14-5",22
"254877-67-3",22
"5392-28-9",22
"NOCAS_48172",22
"1166-34-3",22
"145918-75-8",22
"1724-39-6",22
"97466-90-5",22
"13679-70-4",22
"2437-25-4",22
"103-52-6",22
"167820-10-2",22
"34413-35-9",22
"15214-89-8",22
"107-18-6",22
"112-52-7",22
"2426-08-6",22
"103-24-2",22
"13473-26-2",22
"82-68-8",23
"103177-37-3",23
"17969-20-9",24
"129630-19-9",24
"23255-99-4",24
"22204-53-1",24
"599179-03-0",24
"22071-15-4",24
"188489-07-8",24
"463-40-1",24
"505-52-2",24
"53164-05-9",24
"55268-74-1",24
"698-76-0",24
"334-48-5",24
"495-85-2",24
"15687-27-1",24
"136-45-8",24
"105219-56-5",24
"18046-21-4",24
"151506-44-4",24
"56-05-3",24
"133-32-4",24
"124858-35-1",24
"648917-13-9",24
"112-31-2",24
"94-81-5",24
"84379-13-5",24
"40828-46-4",24
"389-08-2",24
"128639-02-1",24
"120-36-5",24
"215297-27-1",24
"1918-02-1",24
"62476-59-9",24
"50594-66-6",24
"3739-38-6",24
"21256-18-8",24
"94-75-7",24
"2702-72-9",24
"2008-39-1",24
"NOCAS_47383",24
"53716-49-7",24
"108612-45-9",24
"5728-52-9",24
"55335-06-3",24
"37762-06-4",24
"120-23-0",24
"93-76-5",24
"5104-49-4",24
"52549-17-4",24
"64490-92-2",24
"111974-69-7",24
"587-63-3",24
"93479-97-1",24
"1338-24-5",24
"5165-97-9",24
"53808-88-1",24
"94-82-6",24
"10433-59-7",24
"138402-11-6",24
"73367-80-3",24
"120638-55-3",24
"117337-19-6",24
"10238-21-8",24
"36330-85-5",24
"207736-05-8",24
"64092-48-4",24
"18924-66-8",25
"6724-53-4",25
"68959-20-6",25
"725228-45-5",25
"50-41-9",25
"68844-77-9",25
"NOCAS_47381",25
"145158-71-0",25
"929-73-7",25
"2026-24-6",25
"130-61-0",25
"143-50-0",25
"67469-78-7",25
"54965-24-1",25
"10540-29-1",25
"64359-81-5",25
"57-09-0",25
"53152-21-9",25
"NOCAS_47353",25
"3179-80-4",25
"68392-35-8",25
"364782-34-3",25
"95-38-5",25
"89778-27-8",25
"538-71-6",25
"20562-02-1",25
"141626-36-0",25
"1461-25-2",26
"115-09-3",26
"2634-33-5",26
"941-69-5",26
"731-27-1",26
"26530-20-1",26
"6317-18-6",26
"58-27-5",26
"541-59-3",26
"1192-52-5",26
"117-80-6",26
"21564-17-0",26
"118-75-2",26
"31519-22-9",26
"1085-98-9",26
"13676-54-5",26
"481-85-6",26
"20004-62-0",27
"70-30-4",27
"39156-41-7",27
"122453-73-0",27
"87-10-5",27
"630-60-4",27
"20830-75-5",27
"466-06-8",27
"17598-65-1",27
"50-65-7",27
"71751-41-2",27
"1154-59-2",27
"7789-12-0",27
"4776-06-1",27
"71-63-6",27
"55981-09-4",27
"84-79-7",28
