"Gene","Overall_Centrality","Score_DC","Score_BC","Score_CC","Score_MCC","Score_DMNC","Rank_DC","Rank_BC","Rank_CC","Rank_MCC","Rank_DMNC"
"FAM234B",0,0,0,0,0,0,187,131,187,187,96
"FAM3A",0,0,0,0,0,0,187,131,187,187,96
"FAM3B",0,0,0,0,0,0,187,131,187,187,96
"FIBIN",0,0,0,0,0,0,187,131,187,187,96
"GALNT15",0,0,0,0,0,0,187,131,187,187,96
"GDPGP1",0,0,0,0,0,0,187,131,187,187,96
"GK2",0,0,0,0,0,0,187,131,187,187,96
"GRAMD4",0,0,0,0,0,0,187,131,187,187,96
"GTF2IRD2B",0,0,0,0,0,0,187,131,187,187,96
"HERC1",0,0,0,0,0,0,187,131,187,187,96
"ITIH5",0,0,0,0,0,0,187,131,187,187,96
"KLHL26",0,0,0,0,0,0,187,131,187,187,96
"MTCP1",0,0,0,0,0,0,187,131,187,187,96
"NT5DC2",0,0,0,0,0,0,187,131,187,187,96
"NTNG2",0,0,0,0,0,0,187,131,187,187,96
"NXPH1",0,0,0,0,0,0,187,131,187,187,96
"PAPLN",0,0,0,0,0,0,187,131,187,187,96
"PCDHGC3",0,0,0,0,0,0,187,131,187,187,96
"PLEKHB1",0,0,0,0,0,0,187,131,187,187,96
"PLEKHN1",0,0,0,0,0,0,187,131,187,187,96
"PLIN3",0,0,0,0,0,0,187,131,187,187,96
"PLXNA4",0,0,0,0,0,0,187,131,187,187,96
"PPP1R18",0,0,0,0,0,0,187,131,187,187,96
"RFTN1",0,0,0,0,0,0,187,131,187,187,96
"RNASET2",0,0,0,0,0,0,187,131,187,187,96
"SERINC5",0,0,0,0,0,0,187,131,187,187,96
"SEZ6L2",0,0,0,0,0,0,187,131,187,187,96
"SHISA7",0,0,0,0,0,0,187,131,187,187,96
"SLC5A5",0,0,0,0,0,0,187,131,187,187,96
"SPICE1",0,0,0,0,0,0,187,131,187,187,96
"ST8SIA5",0,0,0,0,0,0,187,131,187,187,96
"STK26",0,0,0,0,0,0,187,131,187,187,96
"TMEM171",0,0,0,0,0,0,187,131,187,187,96
"TMPRSS5",0,0,0,0,0,0,187,131,187,187,96
"TPPP3",0,0,0,0,0,0,187,131,187,187,96
"TTBK1",0,0,0,0,0,0,187,131,187,187,96
"TXNDC17",0,0,0,0,0,0,187,131,187,187,96
"TYMP",0,0,0,0,0,0,187,131,187,187,96
"TYRO3",0,0,0,0,0,0,187,131,187,187,96
"VSTM2A",0,0,0,0,0,0,187,131,187,187,96
"ZNF195",0,0,0,0,0,0,187,131,187,187,96
