"","cas","cluster","inchikey","target_gene"
"295","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","KCNH2"
"296","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","KCNA5"
"297","106685-40-9",130,"LZCDAPDGXCYOEH-UHFFFAOYSA-N","RARA"
"298","106685-40-9",130,"LZCDAPDGXCYOEH-UHFFFAOYSA-N","RARB"
"299","106685-40-9",130,"LZCDAPDGXCYOEH-UHFFFAOYSA-N","RARG"
"300","106685-40-9",130,"LZCDAPDGXCYOEH-UHFFFAOYSA-N","RXRA"
"301","106685-40-9",130,"LZCDAPDGXCYOEH-UHFFFAOYSA-N","RXRB"
"302","106685-40-9",130,"LZCDAPDGXCYOEH-UHFFFAOYSA-N","RXRG"
"303","106685-40-9",130,"LZCDAPDGXCYOEH-UHFFFAOYSA-N","GLRA1"
"304","1068967-96-3",82,"YNVKAENVJKEMOU-UHFFFAOYSA-N","HPGDS"
"305","1069-66-5",113,"NIJJYAXOARWZEE-UHFFFAOYSA-N","ABAT"
"306","1069-66-5",113,"NIJJYAXOARWZEE-UHFFFAOYSA-N","ACADSB"
"307","1069-66-5",113,"NIJJYAXOARWZEE-UHFFFAOYSA-N","ALDH5A1"
"308","1069-66-5",113,"NIJJYAXOARWZEE-UHFFFAOYSA-N","HDAC1"
