"","cas","cluster","inchikey","target_gene"
"281","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","ADRA1B"
"282","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","ADRA1D"
"283","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","DRD2"
"284","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","DRD3"
"285","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","DRD4"
"286","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HRH1"
"287","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HTR1A"
"288","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HTR1B"
"289","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HTR1D"
"290","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HTR1E"
"291","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HTR1F"
"292","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HTR2A"
"293","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HTR2C"
"294","106516-24-9",13,"GZKLJWGUPQBVJQ-UHFFFAOYSA-N","HTR6"
