"","cas","cluster","inchikey","short_key","target_gene"
"51","549-18-8",1,"KRMDCWKBEZIMAB-UHFFFAOYSA-N","KRMDCWKBEZIMAB","SLC6A4"
"52","1553-34-0",1,"MJFJKKXQDNNUJF-UHFFFAOYSA-N","MJFJKKXQDNNUJF","CHRM5"
"53","69-23-8",1,"PLDUPXSUYLZYBN-UHFFFAOYSA-N","PLDUPXSUYLZYBN","CALM1"
"54","69-23-8",1,"PLDUPXSUYLZYBN-UHFFFAOYSA-N","PLDUPXSUYLZYBN","DRD1"
"55","69-23-8",1,"PLDUPXSUYLZYBN-UHFFFAOYSA-N","PLDUPXSUYLZYBN","DRD2"
"56","69-23-8",1,"PLDUPXSUYLZYBN-UHFFFAOYSA-N","PLDUPXSUYLZYBN","DRD5"
"57","69-23-8",1,"PLDUPXSUYLZYBN-UHFFFAOYSA-N","PLDUPXSUYLZYBN","HRH1"
"58","69-23-8",1,"PLDUPXSUYLZYBN-UHFFFAOYSA-N","PLDUPXSUYLZYBN","HTR2A"
"59","69-23-8",1,"PLDUPXSUYLZYBN-UHFFFAOYSA-N","PLDUPXSUYLZYBN","HTR6"
"60","69-23-8",1,"PLDUPXSUYLZYBN-UHFFFAOYSA-N","PLDUPXSUYLZYBN","HTR7"
"61","58-33-3",1,"PWWVAXIEGOYWEE-UHFFFAOYSA-N","PWWVAXIEGOYWEE","HRH1"
"62","53179-11-6",1,"RDOIQAHITMMDAJ-UHFFFAOYSA-N","RDOIQAHITMMDAJ","CACNA1A"
"63","53179-11-6",1,"RDOIQAHITMMDAJ-UHFFFAOYSA-N","RDOIQAHITMMDAJ","CALM1"
"64","53179-11-6",1,"RDOIQAHITMMDAJ-UHFFFAOYSA-N","RDOIQAHITMMDAJ","OPRD1"
"65","53179-11-6",1,"RDOIQAHITMMDAJ-UHFFFAOYSA-N","RDOIQAHITMMDAJ","OPRK1"
"66","53179-11-6",1,"RDOIQAHITMMDAJ-UHFFFAOYSA-N","RDOIQAHITMMDAJ","OPRM1"
"67","53179-11-6",1,"RDOIQAHITMMDAJ-UHFFFAOYSA-N","RDOIQAHITMMDAJ","POMC"
"68","58-39-9",1,"RGCVKNLCSQQDEP-UHFFFAOYSA-N","RGCVKNLCSQQDEP","CALM1"
"69","58-39-9",1,"RGCVKNLCSQQDEP-UHFFFAOYSA-N","RGCVKNLCSQQDEP","DRD1"
