Source,Target,Type,Identity
3382.0,142152.0,Directed,14563107.0
3382.0,142152.0,Directed,14502632.0
3382.0,142152.0,Directed,14502635.0
3382.0,142152.0,Directed,14502636.0
3382.0,142152.0,Directed,14563108.0
3382.0,142152.0,Directed,14563109.0
3382.0,142152.0,Directed,14563110.0
3382.0,142152.0,Directed,26822498.0
3382.0,142152.0,Directed,26822502.0
3382.0,142152.0,Directed,26822506.0
142152.0,3382.0,Directed,31419601.0
142152.0,3382.0,Directed,31419602.0
142152.0,3382.0,Directed,31419603.0
3382.0,5358844.0,Directed,32958550.0
3382.0,5358844.0,Directed,32958542.0
3382.0,5358844.0,Directed,32958544.0
3382.0,5358844.0,Directed,32958545.0
3382.0,5358844.0,Directed,32958548.0
3382.0,5358844.0,Directed,32958551.0
3382.0,5358844.0,Directed,32958552.0
3382.0,5358844.0,Directed,32958553.0
3382.0,5358844.0,Directed,32958554.0
5358846.0,5358844.0,Directed,32958566.0
3382.0,5358846.0,Directed,32958585.0
5358846.0,5358844.0,Directed,32958563.0
5358846.0,5358844.0,Directed,32958560.0
5358846.0,5358844.0,Directed,32958578.0
5358848.0,5358844.0,Directed,32958596.0
3382.0,5358848.0,Directed,32958626.0
5358848.0,5358844.0,Directed,32958600.0
5358848.0,5358844.0,Directed,32958604.0
5358848.0,5358844.0,Directed,32958615.0
5358850.0,5358844.0,Directed,32958638.0
3382.0,5358850.0,Directed,32958673.0
5358850.0,5358844.0,Directed,32958643.0
5358850.0,5358844.0,Directed,32958650.0
5358850.0,5358844.0,Directed,32958662.0
3382.0,5358846.0,Directed,32958582.0
3382.0,5358846.0,Directed,32958583.0
3382.0,5358846.0,Directed,32958584.0
3382.0,5358846.0,Directed,32958586.0
3382.0,5358846.0,Directed,32958587.0
3382.0,5358846.0,Directed,32958588.0
3382.0,5358846.0,Directed,32958589.0
3382.0,5358846.0,Directed,32958590.0
5358848.0,5358846.0,Directed,32958597.0
5358848.0,5358846.0,Directed,32958601.0
5358848.0,5358846.0,Directed,32958605.0
5358848.0,5358846.0,Directed,32958618.0
5358850.0,5358846.0,Directed,32958634.0
5358850.0,5358846.0,Directed,32958639.0
5358850.0,5358846.0,Directed,32958646.0
5358850.0,5358846.0,Directed,32958644.0
5358850.0,5358846.0,Directed,32958651.0
5358850.0,5358846.0,Directed,32958663.0
3382.0,5358848.0,Directed,32958620.0
3382.0,5358848.0,Directed,32958621.0
3382.0,5358848.0,Directed,32958622.0
3382.0,5358848.0,Directed,32958625.0
3382.0,5358848.0,Directed,32958627.0
3382.0,5358848.0,Directed,32958628.0
3382.0,5358848.0,Directed,32958629.0
3382.0,5358848.0,Directed,32958630.0
5358850.0,5358848.0,Directed,32958640.0
5358850.0,5358848.0,Directed,32958645.0
5358850.0,5358848.0,Directed,32958652.0
5358850.0,5358848.0,Directed,32958666.0
3382.0,5358850.0,Directed,32958668.0
3382.0,5358850.0,Directed,32958669.0
3382.0,5358850.0,Directed,32958670.0
3382.0,5358850.0,Directed,32958674.0
3382.0,5358850.0,Directed,32958675.0
3382.0,5358850.0,Directed,32958676.0
3382.0,5358850.0,Directed,32958677.0
3382.0,5358850.0,Directed,32958678.0
3382.0,5360908.0,Directed,32992031.0
3382.0,5360908.0,Directed,32992028.0
3382.0,5360908.0,Directed,32992029.0
3382.0,5360908.0,Directed,32992030.0
3382.0,5360908.0,Directed,32992032.0
3382.0,5360908.0,Directed,32992033.0
3382.0,5360908.0,Directed,32992034.0
3382.0,5360908.0,Directed,32992035.0
3382.0,5360908.0,Directed,32992036.0
3382.0,5368180.0,Directed,33164341.0
3382.0,5368180.0,Directed,33164353.0
3382.0,5368180.0,Directed,33164352.0
3382.0,5368180.0,Directed,33164351.0
3382.0,5368180.0,Directed,33164350.0
3382.0,5368180.0,Directed,33164349.0
3382.0,5368180.0,Directed,33164348.0
3382.0,5368180.0,Directed,33164347.0
3382.0,5368180.0,Directed,33164346.0
3382.0,5368180.0,Directed,33164345.0
3382.0,5368180.0,Directed,33164344.0
3382.0,5368180.0,Directed,33164343.0
3382.0,5368180.0,Directed,33164342.0
3382.0,5368180.0,Directed,33164340.0
3382.0,5368180.0,Directed,33164339.0
3382.0,5368180.0,Directed,33164338.0
3382.0,5368180.0,Directed,33164336.0
5368180.0,3382.0,Directed,33164332.0
5368180.0,3382.0,Directed,33164333.0
5368180.0,3382.0,Directed,33164329.0
5368194.0,5368180.0,Directed,33164603.0
3382.0,5368194.0,Directed,33164630.0
3382.0,5368194.0,Directed,33164621.0
5368194.0,5368180.0,Directed,33164592.0
5368192.0,5368180.0,Directed,33164553.0
3382.0,5368192.0,Directed,33164578.0
3382.0,5368192.0,Directed,33164569.0
5368192.0,5368180.0,Directed,33164561.0
5368192.0,5368180.0,Directed,33164537.0
5368192.0,5368180.0,Directed,33164543.0
5368190.0,5368180.0,Directed,33164498.0
3382.0,5368190.0,Directed,33164530.0
3382.0,5368190.0,Directed,33164521.0
5368190.0,5368180.0,Directed,33164507.0
5368190.0,5368180.0,Directed,33164514.0
5368190.0,5368180.0,Directed,33164493.0
5368188.0,5368180.0,Directed,33164471.0
3382.0,5368188.0,Directed,33164486.0
3382.0,5368188.0,Directed,33164477.0
5368188.0,5368180.0,Directed,33164465.0
5368188.0,5368180.0,Directed,33164453.0
5368188.0,5368180.0,Directed,33164457.0
5368186.0,5368180.0,Directed,33164432.0
3382.0,5368186.0,Directed,33164446.0
3382.0,5368186.0,Directed,33164437.0
