Source,Target,Type,Identity
11996.0,143465.0,Directed,15009884.0
11996.0,143465.0,Directed,15009882.0
11996.0,81384.0,Directed,15009888.0
11996.0,81384.0,Directed,15009886.0
11996.0,189539.0,Directed,15009891.0
11996.0,189539.0,Directed,15009890.0
11996.0,128804.0,Directed,15009894.0
11996.0,128804.0,Directed,15009893.0
11996.0,128804.0,Directed,15009897.0
11996.0,128804.0,Directed,15009896.0
11996.0,157673.0,Directed,15009903.0
11996.0,157673.0,Directed,15009902.0
11996.0,143465.0,Directed,15009885.0
11996.0,81384.0,Directed,15009889.0
11996.0,189539.0,Directed,15009892.0
11996.0,128804.0,Directed,15009895.0
11996.0,128804.0,Directed,15009898.0
11996.0,157673.0,Directed,15009904.0
189539.0,81384.0,Directed,18271677.0
81384.0,189539.0,Directed,444831.0
81384.0,189539.0,Directed,21153805.0
189539.0,128804.0,Directed,18161683.0
128804.0,189539.0,Directed,488407.0
128804.0,189539.0,Directed,21153741.0
11996.0,12833.0,Directed,28836666.0
12833.0,11996.0,Directed,23387093.0
11996.0,12833.0,Directed,28836682.0
12833.0,11996.0,Directed,23387091.0
11996.0,12833.0,Directed,28836722.0
12833.0,11996.0,Directed,23387092.0
11996.0,12833.0,Directed,28836674.0
12833.0,11996.0,Directed,23387099.0
11996.0,12833.0,Directed,28836746.0
12833.0,11996.0,Directed,23387089.0
11996.0,12833.0,Directed,28836738.0
12833.0,11996.0,Directed,23387088.0
11996.0,12833.0,Directed,28836706.0
12833.0,11996.0,Directed,23387090.0
11996.0,12833.0,Directed,28836650.0
12833.0,11996.0,Directed,23387098.0
12833.0,11996.0,Directed,14679744.0
11996.0,12833.0,Directed,28836690.0
12833.0,11996.0,Directed,23387094.0
11996.0,12833.0,Directed,28836698.0
12833.0,11996.0,Directed,23387095.0
11996.0,12833.0,Directed,28836658.0
12833.0,11996.0,Directed,23387096.0
11996.0,12833.0,Directed,28836714.0
12833.0,11996.0,Directed,23387097.0
11996.0,12833.0,Directed,28836730.0
12833.0,11996.0,Directed,23387087.0
12833.0,11996.0,Directed,14679745.0
12833.0,11996.0,Directed,14679746.0
12833.0,11996.0,Directed,14679747.0
12833.0,11996.0,Directed,14679748.0
12833.0,11996.0,Directed,14679749.0
11996.0,169420.0,Directed,21665690.0
169420.0,12833.0,Directed,28835656.0
12833.0,169420.0,Directed,21666056.0
11996.0,169420.0,Directed,21665691.0
12833.0,169420.0,Directed,14679635.0
169420.0,12833.0,Directed,28835672.0
12833.0,169420.0,Directed,21666057.0
11996.0,169420.0,Directed,21665692.0
169420.0,12833.0,Directed,28835680.0
12833.0,169420.0,Directed,21666058.0
11996.0,169420.0,Directed,21665693.0
169420.0,12833.0,Directed,28835688.0
12833.0,169420.0,Directed,21666059.0
11996.0,169420.0,Directed,21665694.0
169420.0,12833.0,Directed,28835664.0
12833.0,169420.0,Directed,21666060.0
11996.0,169420.0,Directed,21665695.0
169420.0,12833.0,Directed,28835696.0
12833.0,169420.0,Directed,21666061.0
11996.0,12833.0,Directed,22638479.0
11996.0,12833.0,Directed,22638480.0
11996.0,12833.0,Directed,22638481.0
11996.0,12833.0,Directed,22638482.0
11996.0,12833.0,Directed,22638483.0
11996.0,12833.0,Directed,22638484.0
11996.0,12833.0,Directed,22638485.0
11996.0,12833.0,Directed,22638486.0
11996.0,12833.0,Directed,28836684.0
11996.0,12833.0,Directed,28836685.0
11996.0,12833.0,Directed,28836686.0
11996.0,12833.0,Directed,28836687.0
11996.0,12833.0,Directed,28836688.0
11996.0,12833.0,Directed,28836689.0
11996.0,12833.0,Directed,28836691.0
169420.0,11996.0,Directed,23385578.0
169420.0,11996.0,Directed,23385589.0
