Source,Target,Type,Identity
12286.0,188567.0,Directed,14951487.0
12286.0,188567.0,Directed,14951488.0
12286.0,188567.0,Directed,14951489.0
12286.0,112451.0,Directed,14951484.0
12286.0,112451.0,Directed,14951485.0
12286.0,112451.0,Directed,14951486.0
12286.0,163845.0,Directed,14951475.0
12286.0,163845.0,Directed,14951476.0
12286.0,163845.0,Directed,14951477.0
12286.0,102693.0,Directed,14951472.0
12286.0,102693.0,Directed,14951473.0
12286.0,102693.0,Directed,14951474.0
12286.0,128660.0,Directed,14951457.0
12286.0,128660.0,Directed,14951458.0
12286.0,128660.0,Directed,14951459.0
12286.0,72960.0,Directed,14951451.0
12286.0,72960.0,Directed,14951452.0
12286.0,72960.0,Directed,14951453.0
12286.0,206591.0,Directed,14951436.0
12286.0,206591.0,Directed,14951437.0
12286.0,206591.0,Directed,14951438.0
12286.0,152846.0,Directed,14951427.0
12286.0,152846.0,Directed,14951428.0
12286.0,152846.0,Directed,14951429.0
12286.0,21805.0,Directed,14951424.0
12286.0,21805.0,Directed,14951425.0
12286.0,21805.0,Directed,14951426.0
21805.0,12286.0,Directed,23682588.0
12286.0,21805.0,Directed,24607432.0
21805.0,12286.0,Directed,23682594.0
12286.0,21805.0,Directed,24607430.0
12286.0,21805.0,Directed,14951418.0
21805.0,12286.0,Directed,23682558.0
12286.0,21805.0,Directed,24607431.0
21805.0,12286.0,Directed,23682570.0
12286.0,21805.0,Directed,24607433.0
12286.0,21805.0,Directed,14951419.0
12286.0,21805.0,Directed,14951420.0
21805.0,12286.0,Directed,23682550.0
21805.0,12286.0,Directed,23682551.0
21805.0,12286.0,Directed,23682552.0
21805.0,12286.0,Directed,23682553.0
21805.0,12286.0,Directed,23682554.0
21805.0,12286.0,Directed,23682555.0
21805.0,12286.0,Directed,23682546.0
12286.0,21805.0,Directed,24607440.0
12286.0,21805.0,Directed,24607436.0
12286.0,21805.0,Directed,24607447.0
12286.0,21805.0,Directed,24607458.0
12286.0,21805.0,Directed,24607469.0
12286.0,21805.0,Directed,24607480.0
12286.0,21805.0,Directed,24607491.0
21805.0,12286.0,Directed,23682540.0
12286.0,21805.0,Directed,24607438.0
21805.0,12286.0,Directed,23682576.0
12286.0,21805.0,Directed,24607435.0
21805.0,12286.0,Directed,23682582.0
12286.0,21805.0,Directed,24607434.0
21805.0,12286.0,Directed,23682564.0
12286.0,21805.0,Directed,24607439.0
21805.0,12286.0,Directed,23682534.0
12286.0,21805.0,Directed,24607437.0
12286.0,171917.0,Directed,14951415.0
12286.0,171917.0,Directed,14951417.0
12286.0,171917.0,Directed,14951416.0
12286.0,35712.0,Directed,18650813.0
35712.0,12286.0,Directed,23682604.0
35712.0,12286.0,Directed,23682605.0
35712.0,12286.0,Directed,23682606.0
35712.0,12286.0,Directed,23682607.0
35712.0,12286.0,Directed,23682608.0
35712.0,12286.0,Directed,23682609.0
12286.0,35712.0,Directed,18650801.0
12286.0,35712.0,Directed,18650807.0
12286.0,35712.0,Directed,18650819.0
12286.0,35712.0,Directed,18650825.0
12286.0,35712.0,Directed,18650831.0
35712.0,12286.0,Directed,23682600.0
12286.0,35712.0,Directed,18650810.0
35712.0,12286.0,Directed,23682630.0
12286.0,35712.0,Directed,18650812.0
35712.0,12286.0,Directed,23682624.0
12286.0,35712.0,Directed,18650815.0
35712.0,12286.0,Directed,23682612.0
12286.0,35712.0,Directed,18650811.0
35712.0,12286.0,Directed,23682618.0
12286.0,35712.0,Directed,18650814.0
35712.0,12286.0,Directed,23682628.0
35712.0,12286.0,Directed,23682629.0
35712.0,12286.0,Directed,23682631.0
35712.0,12286.0,Directed,23682632.0
35712.0,12286.0,Directed,23682633.0
12286.0,35712.0,Directed,18650800.0
12286.0,35712.0,Directed,18650806.0
12286.0,35712.0,Directed,18650818.0
12286.0,35712.0,Directed,18650824.0
12286.0,35712.0,Directed,18650830.0
35712.0,48407.0,Directed,2545996.0
48407.0,12286.0,Directed,23682636.0
12286.0,48407.0,Directed,24783552.0
35712.0,12286.0,Directed,23682610.0
35712.0,12286.0,Directed,23682611.0
35712.0,12286.0,Directed,23682613.0
35712.0,12286.0,Directed,23682614.0
35712.0,12286.0,Directed,23682615.0
48407.0,35712.0,Directed,1900708.0
12286.0,35712.0,Directed,18650799.0
12286.0,35712.0,Directed,18650805.0
12286.0,35712.0,Directed,18650817.0
12286.0,35712.0,Directed,18650823.0
12286.0,35712.0,Directed,18650829.0
35712.0,12286.0,Directed,23682598.0
35712.0,12286.0,Directed,23682599.0
35712.0,12286.0,Directed,23682601.0
35712.0,12286.0,Directed,23682602.0
35712.0,12286.0,Directed,23682603.0
12286.0,35712.0,Directed,18650797.0
12286.0,35712.0,Directed,18650804.0
12286.0,35712.0,Directed,18650816.0
12286.0,35712.0,Directed,18650822.0
12286.0,35712.0,Directed,18650828.0
35712.0,12286.0,Directed,23682616.0
35712.0,12286.0,Directed,23682617.0
35712.0,12286.0,Directed,23682619.0
35712.0,12286.0,Directed,23682620.0
35712.0,12286.0,Directed,23682621.0
12286.0,35712.0,Directed,18650802.0
12286.0,35712.0,Directed,18650808.0
12286.0,35712.0,Directed,18650820.0
12286.0,35712.0,Directed,18650826.0
12286.0,35712.0,Directed,18650832.0
35712.0,12286.0,Directed,23682622.0
35712.0,12286.0,Directed,23682623.0
35712.0,12286.0,Directed,23682625.0
35712.0,12286.0,Directed,23682626.0
35712.0,12286.0,Directed,23682627.0
12286.0,35712.0,Directed,18650803.0
12286.0,35712.0,Directed,18650809.0
12286.0,35712.0,Directed,18650821.0
12286.0,35712.0,Directed,18650827.0
12286.0,35712.0,Directed,18650833.0
12286.0,56548.0,Directed,19182476.0
56548.0,12286.0,Directed,23682480.0
12286.0,56548.0,Directed,19182484.0
12286.0,56548.0,Directed,19183219.0
56548.0,12286.0,Directed,23682498.0
12286.0,56548.0,Directed,19182477.0
12286.0,56548.0,Directed,19183212.0
56548.0,12286.0,Directed,23682526.0
56548.0,12286.0,Directed,23682527.0
56548.0,12286.0,Directed,23682528.0
56548.0,12286.0,Directed,23682529.0
56548.0,12286.0,Directed,23682530.0
56548.0,12286.0,Directed,23682531.0
12286.0,56548.0,Directed,19182494.0
12286.0,56548.0,Directed,19182485.0
12286.0,56548.0,Directed,19182503.0
12286.0,56548.0,Directed,19182512.0
12286.0,56548.0,Directed,19182521.0
12286.0,56548.0,Directed,19183201.0
12286.0,56548.0,Directed,19183211.0
12286.0,56548.0,Directed,19183220.0
12286.0,56548.0,Directed,19183229.0
12286.0,56548.0,Directed,19183238.0
12286.0,56548.0,Directed,19183247.0
56548.0,12286.0,Directed,23682510.0
12286.0,56548.0,Directed,19182482.0
12286.0,56548.0,Directed,19183217.0
56548.0,12286.0,Directed,23682522.0
12286.0,56548.0,Directed,19182478.0
12286.0,56548.0,Directed,19183213.0
56548.0,12286.0,Directed,23682492.0
12286.0,56548.0,Directed,19182479.0
12286.0,56548.0,Directed,19183214.0
56548.0,12286.0,Directed,23682504.0
12286.0,56548.0,Directed,19182480.0
12286.0,56548.0,Directed,19183215.0
56548.0,12286.0,Directed,23682516.0
12286.0,56548.0,Directed,19182481.0
12286.0,56548.0,Directed,19183216.0
56548.0,12286.0,Directed,23682486.0
12286.0,56548.0,Directed,19182483.0
12286.0,56548.0,Directed,19183218.0
56548.0,12286.0,Directed,1991847.0
56548.0,12286.0,Directed,23682496.0
56548.0,12286.0,Directed,23682497.0
56548.0,12286.0,Directed,23682499.0
56548.0,12286.0,Directed,23682500.0
56548.0,12286.0,Directed,23682501.0
12286.0,56548.0,Directed,1053478.0
12286.0,56548.0,Directed,19182486.0
12286.0,56548.0,Directed,19182495.0
12286.0,56548.0,Directed,19182504.0
12286.0,56548.0,Directed,19182513.0
12286.0,56548.0,Directed,19182522.0
220334.0,56548.0,Directed,1031600.0
12286.0,220334.0,Directed,29710095.0
220334.0,12286.0,Directed,23682661.0
12286.0,56548.0,Directed,19183203.0
12286.0,56548.0,Directed,19183221.0
12286.0,56548.0,Directed,19183230.0
12286.0,56548.0,Directed,19183239.0
12286.0,56548.0,Directed,19183248.0
56548.0,12286.0,Directed,23682520.0
56548.0,12286.0,Directed,23682521.0
56548.0,12286.0,Directed,23682523.0
56548.0,12286.0,Directed,23682524.0
56548.0,12286.0,Directed,23682525.0
12286.0,56548.0,Directed,19182523.0
12286.0,56548.0,Directed,19182514.0
12286.0,56548.0,Directed,19182505.0
12286.0,56548.0,Directed,19182496.0
12286.0,56548.0,Directed,19182487.0
12286.0,56548.0,Directed,19183204.0
12286.0,56548.0,Directed,19183222.0
12286.0,56548.0,Directed,19183231.0
12286.0,56548.0,Directed,19183240.0
12286.0,56548.0,Directed,19183249.0
56548.0,12286.0,Directed,23682490.0
56548.0,12286.0,Directed,23682491.0
56548.0,12286.0,Directed,23682493.0
56548.0,12286.0,Directed,23682494.0
56548.0,12286.0,Directed,23682495.0
12286.0,56548.0,Directed,19182524.0
12286.0,56548.0,Directed,19182515.0
12286.0,56548.0,Directed,19182506.0
12286.0,56548.0,Directed,19182497.0
12286.0,56548.0,Directed,19182488.0
12286.0,56548.0,Directed,19183205.0
12286.0,56548.0,Directed,19183223.0
12286.0,56548.0,Directed,19183232.0
12286.0,56548.0,Directed,19183241.0
12286.0,56548.0,Directed,19183250.0
56548.0,12286.0,Directed,23682502.0
56548.0,12286.0,Directed,23682503.0
56548.0,12286.0,Directed,23682505.0
56548.0,12286.0,Directed,23682506.0
56548.0,12286.0,Directed,23682507.0
12286.0,56548.0,Directed,19182525.0
12286.0,56548.0,Directed,19182516.0
12286.0,56548.0,Directed,19182507.0
12286.0,56548.0,Directed,19182498.0
12286.0,56548.0,Directed,19182489.0
12286.0,56548.0,Directed,19183206.0
12286.0,56548.0,Directed,19183224.0
12286.0,56548.0,Directed,19183233.0
12286.0,56548.0,Directed,19183242.0
12286.0,56548.0,Directed,19183251.0
56548.0,12286.0,Directed,23682514.0
56548.0,12286.0,Directed,23682515.0
56548.0,12286.0,Directed,23682517.0
56548.0,12286.0,Directed,23682518.0
56548.0,12286.0,Directed,23682519.0
12286.0,56548.0,Directed,19182526.0
12286.0,56548.0,Directed,19182517.0
12286.0,56548.0,Directed,19182508.0
12286.0,56548.0,Directed,19182499.0
12286.0,56548.0,Directed,19182490.0
12286.0,56548.0,Directed,7039034.0
12286.0,56548.0,Directed,19183207.0
12286.0,56548.0,Directed,19183225.0
12286.0,56548.0,Directed,19183234.0
12286.0,56548.0,Directed,19183243.0
12286.0,56548.0,Directed,19183252.0
56548.0,12286.0,Directed,23682508.0
56548.0,12286.0,Directed,23682509.0
56548.0,12286.0,Directed,23682511.0
56548.0,12286.0,Directed,23682512.0
56548.0,12286.0,Directed,23682513.0
12286.0,56548.0,Directed,19182491.0
12286.0,56548.0,Directed,19182500.0
12286.0,56548.0,Directed,19182509.0
12286.0,56548.0,Directed,19182518.0
12286.0,56548.0,Directed,19182527.0
12286.0,56548.0,Directed,19183208.0
12286.0,56548.0,Directed,19183226.0
12286.0,56548.0,Directed,19183235.0
12286.0,56548.0,Directed,19183244.0
12286.0,56548.0,Directed,19183253.0
56548.0,12286.0,Directed,23682484.0
56548.0,12286.0,Directed,23682485.0
56548.0,12286.0,Directed,23682487.0
56548.0,12286.0,Directed,23682488.0
56548.0,12286.0,Directed,23682489.0
12286.0,56548.0,Directed,19182528.0
12286.0,56548.0,Directed,19182519.0
12286.0,56548.0,Directed,19182510.0
12286.0,56548.0,Directed,19182501.0
12286.0,56548.0,Directed,19182492.0
12286.0,56548.0,Directed,19183209.0
12286.0,56548.0,Directed,19183227.0
12286.0,56548.0,Directed,19183236.0
12286.0,56548.0,Directed,19183245.0
12286.0,56548.0,Directed,19183254.0
56548.0,12286.0,Directed,23682478.0
56548.0,12286.0,Directed,23682479.0
56548.0,12286.0,Directed,23682481.0
56548.0,12286.0,Directed,23682482.0
56548.0,12286.0,Directed,23682483.0
12286.0,56548.0,Directed,19182493.0
12286.0,56548.0,Directed,19182502.0
12286.0,56548.0,Directed,19182511.0
12286.0,56548.0,Directed,19182520.0
12286.0,56548.0,Directed,19182529.0
12286.0,56548.0,Directed,19183210.0
12286.0,56548.0,Directed,19183228.0
12286.0,56548.0,Directed,19183237.0
12286.0,56548.0,Directed,19183246.0
12286.0,56548.0,Directed,19183255.0
21805.0,12286.0,Directed,23682592.0
21805.0,12286.0,Directed,23682593.0
21805.0,12286.0,Directed,23682595.0
21805.0,12286.0,Directed,23682596.0
21805.0,12286.0,Directed,23682597.0
12286.0,21805.0,Directed,24607441.0
12286.0,21805.0,Directed,24607452.0
12286.0,21805.0,Directed,24607463.0
12286.0,21805.0,Directed,24607474.0
12286.0,21805.0,Directed,24607485.0
21805.0,12286.0,Directed,23682556.0
21805.0,12286.0,Directed,23682557.0
21805.0,12286.0,Directed,23682559.0
21805.0,12286.0,Directed,23682560.0
21805.0,12286.0,Directed,23682561.0
12286.0,21805.0,Directed,24607442.0
12286.0,21805.0,Directed,24607453.0
12286.0,21805.0,Directed,24607464.0
12286.0,21805.0,Directed,24607475.0
