Source,Target,Type,Identity
206186.0,83031.0,Directed,19508141.0
83031.0,206186.0,Directed,21781443.0
206186.0,83031.0,Directed,545226.0
206186.0,83031.0,Directed,19506513.0
11682.0,81038.0,Directed,15001779.0
11682.0,81038.0,Directed,15001778.0
11682.0,86513.0,Directed,15001776.0
11682.0,86513.0,Directed,15001775.0
11682.0,196084.0,Directed,15001770.0
11682.0,196084.0,Directed,15001769.0
11682.0,191565.0,Directed,15001764.0
11682.0,191565.0,Directed,15001763.0
11682.0,68506.0,Directed,15001758.0
11682.0,68506.0,Directed,15001757.0
11682.0,83031.0,Directed,15001749.0
11682.0,83031.0,Directed,15001748.0
11682.0,132068.0,Directed,15001746.0
11682.0,132068.0,Directed,15001745.0
11682.0,81038.0,Directed,15001780.0
11682.0,86513.0,Directed,15001777.0
11682.0,196084.0,Directed,15001771.0
11682.0,191565.0,Directed,15001765.0
11682.0,68506.0,Directed,15001759.0
11682.0,83031.0,Directed,15001750.0
11682.0,132068.0,Directed,15001747.0
83031.0,206186.0,Directed,21781443.0
206186.0,83031.0,Directed,19508141.0
206186.0,83031.0,Directed,545226.0
206186.0,83031.0,Directed,19506513.0
16755.0,112087.0,Directed,14883447.0
16755.0,112087.0,Directed,14883448.0
16755.0,112087.0,Directed,14883449.0
16755.0,99719.0,Directed,14883432.0
16755.0,99719.0,Directed,14883433.0
16755.0,99719.0,Directed,14883434.0
16755.0,86560.0,Directed,14883429.0
16755.0,86560.0,Directed,14883430.0
16755.0,86560.0,Directed,14883431.0
16755.0,190954.0,Directed,14883426.0
16755.0,190954.0,Directed,14883428.0
16755.0,190954.0,Directed,14883427.0
16755.0,121450.0,Directed,14883420.0
16755.0,121450.0,Directed,14883421.0
16755.0,121450.0,Directed,14883422.0
55398.0,121450.0,Directed,23148534.0
55398.0,16755.0,Directed,22176113.0
16755.0,55398.0,Directed,18584084.0
55398.0,121450.0,Directed,23148542.0
55398.0,16755.0,Directed,22176085.0
