Source,Target,Type,Identity
6256.0,162125.0,Directed,14959375.0
6256.0,162125.0,Directed,14959373.0
6256.0,162125.0,Directed,14959374.0
6256.0,121358.0,Directed,14959369.0
6256.0,121358.0,Directed,14959367.0
6256.0,121358.0,Directed,14959368.0
6256.0,109189.0,Directed,14959366.0
6256.0,109189.0,Directed,14959365.0
6256.0,109189.0,Directed,14959364.0
6256.0,165753.0,Directed,14959363.0
6256.0,165753.0,Directed,14959361.0
6256.0,165753.0,Directed,14959362.0
6256.0,62116.0,Directed,14959360.0
6256.0,62116.0,Directed,14959358.0
6256.0,62116.0,Directed,14959359.0
6256.0,79806.0,Directed,14959357.0
6256.0,79806.0,Directed,14504387.0
6256.0,79806.0,Directed,14504389.0
6256.0,79806.0,Directed,14504390.0
6256.0,79806.0,Directed,14633899.0
6256.0,79806.0,Directed,14633900.0
6256.0,79806.0,Directed,14633901.0
6256.0,79806.0,Directed,14633902.0
6256.0,79806.0,Directed,14633903.0
79806.0,6256.0,Directed,21001407.0
79806.0,6256.0,Directed,21001408.0
79806.0,6256.0,Directed,21001409.0
79806.0,6256.0,Directed,21001410.0
79806.0,6256.0,Directed,21001411.0
79806.0,6256.0,Directed,21001412.0
79806.0,6256.0,Directed,21001413.0
79806.0,6256.0,Directed,21001414.0
79806.0,6256.0,Directed,21001415.0
79806.0,6256.0,Directed,21001416.0
79806.0,6256.0,Directed,21001417.0
79806.0,6256.0,Directed,21001418.0
79806.0,6256.0,Directed,21001419.0
79806.0,5390213.0,Directed,34286414.0
6256.0,5390213.0,Directed,34286469.0
79806.0,5390213.0,Directed,34286421.0
79806.0,5390213.0,Directed,34286424.0
79806.0,5390213.0,Directed,34286430.0
79806.0,5390213.0,Directed,34286431.0
79806.0,5390213.0,Directed,34286433.0
79806.0,5390213.0,Directed,34286438.0
79806.0,5390213.0,Directed,34286447.0
79806.0,5390213.0,Directed,34286448.0
79806.0,5390213.0,Directed,34286500.0
6256.0,79806.0,Directed,26705370.0
6256.0,79806.0,Directed,26705374.0
6256.0,79806.0,Directed,26705378.0
6256.0,79806.0,Directed,26705382.0
6256.0,79806.0,Directed,26705386.0
6256.0,79806.0,Directed,26705390.0
6256.0,79806.0,Directed,26705394.0
6256.0,79806.0,Directed,26705398.0
6256.0,79806.0,Directed,26705402.0
6256.0,79806.0,Directed,26705406.0
6256.0,79806.0,Directed,26705410.0
6256.0,79806.0,Directed,26705414.0
6256.0,79806.0,Directed,26705418.0
6256.0,175115.0,Directed,14959355.0
6256.0,175115.0,Directed,14959353.0
6256.0,175115.0,Directed,14959354.0
6256.0,5389895.0,Directed,34270891.0
6256.0,5391323.0,Directed,34467428.0
6256.0,100689.0,Directed,14959345.0
6256.0,100689.0,Directed,14959343.0
6256.0,100689.0,Directed,14959344.0
6256.0,115995.0,Directed,14959342.0
6256.0,115995.0,Directed,14959340.0
6256.0,115995.0,Directed,14959341.0
6256.0,167251.0,Directed,14959339.0
6256.0,167251.0,Directed,14959337.0
6256.0,167251.0,Directed,14959338.0
6256.0,71083.0,Directed,14959336.0
6256.0,71083.0,Directed,14959334.0
6256.0,71083.0,Directed,14959335.0
6256.0,71733.0,Directed,14959333.0
6256.0,71733.0,Directed,14959331.0
6256.0,71733.0,Directed,14959332.0
6256.0,87512.0,Directed,14959327.0
6256.0,87512.0,Directed,14959325.0
6256.0,87512.0,Directed,14959326.0
6256.0,197286.0,Directed,14959321.0
6256.0,197286.0,Directed,14959322.0
6256.0,197286.0,Directed,14959323.0
6256.0,143257.0,Directed,27369209.0
143257.0,6256.0,Directed,29362580.0
6256.0,143257.0,Directed,27370914.0
6256.0,143257.0,Directed,27369210.0
143257.0,6256.0,Directed,29362585.0
6256.0,143257.0,Directed,27370915.0
6256.0,143257.0,Directed,27369211.0
143257.0,6256.0,Directed,29362590.0
6256.0,143257.0,Directed,27370916.0
6256.0,2597382.0,Directed,31833439.0
6256.0,2597382.0,Directed,31833430.0
6256.0,2598816.0,Directed,31833498.0
6256.0,2598816.0,Directed,31833491.0
6256.0,2599832.0,Directed,31833553.0
6256.0,2599832.0,Directed,31833545.0
6256.0,2598632.0,Directed,31833650.0
6256.0,2598632.0,Directed,31833644.0
6256.0,2598242.0,Directed,31833763.0
6256.0,2598242.0,Directed,31833753.0
6256.0,2595293.0,Directed,31833963.0
6256.0,2595293.0,Directed,31833956.0
6256.0,5347192.0,Directed,32175275.0
6256.0,5347192.0,Directed,32175269.0
