"x"
"PEA_CD302"
"PEA_CALB2"
"PEA_CC2D1A"
"PEA_CD74"
"PEA_SLC16A1"
"PEA_EDAR"
"PEA_IL17D"
"PEA_CHIT1"
"PEA_SFTPD"
"MS_CTSS"
"MS_ATP6AP2"
"MS_C2CD4A"
"MS_CA8"
"MS_CPE"
"MS_CUBN"
"MS_DNAJC3"
"MS_DOPEY2"
"MS_EGFR"
"MS_EHMT2"
"MS_F13A1"
"MS_GALNT6"
"MS_PLEKHB1"
"MS_SERPINA5"
